,Love Will Tear Us Apart_Joy Division
0,routine
1,bites
2,hard
3,ambitions
4,low
5,resentment
6,rides
7,high
8,emotions
9,grow
10,we're
11,changing
12,ways
13,taking
14,different
15,roads
16,love
17,love
18,tear
19,us
20,apart
21,love
22,love
23,tear
24,us
25,apart
26,bedroom
27,cold
28,you've
29,turned
30,away
31,your
32,side
33,my
34,timing
35,flawed
36,respect
37,runs
38,dry
39,yet
40,there's
41,still
42,appeal
43,we've
44,kept
45,lives
46,love
47,love
48,tear
49,us
50,apart
51,love
52,love
53,tear
54,us
55,apart
56,guitar
57,solo
58,you
59,cry
60,your
61,sleep
62,my
63,failings
64,exposed
65,there's
66,taste
67,my
68,mouth
69,desperation
70,takes
71,hold
72,something
73,good
74,can't
75,function
76,love
77,love
78,tear
79,us
80,apart
81,love
82,love
83,tear
84,us
85,apart
86,love
87,love
88,tear
89,apart
90,love
91,love
92,tear
93,apart
