,The Girl From Ipanema_Amy Winehouse
0,tall
1,tan
2,young
3,lovely
4,girl
5,ipanema
6,goes
7,walking
8,she
9,passes
10,one
11,she
12,passes
13,goes
14,laboodudidaa
15,she
16,walks
17,like
18,samba
19,swings
20,cool
21,sways
22,gentle
23,she
24,passes
25,one
26,she
27,passes
28,goes
29,laboodudidaa
30,oh
31,i
32,watch
33,her
34,sadly
35,i
36,tell
37,her
38,i
39,love
40,her
41,yes
42,i
43,would
44,give
45,my
46,heart
47,gladly
48,day
49,she
50,walks
51,sea
52,she
53,looks
54,straight
55,ahead
56,me
57,tall
58,tan
59,young
60,lovely
61,girl
62,ipanema
63,goes
64,walking
65,she
66,passes
67,i
68,go
69,girl
70,girl
71,girl
72,ipanema
73,ipanema
74,scat
75,oh
76,i
77,want
78,her
79,badly
80,i
81,tell
82,her
83,i
84,love
85,her
86,yes
87,i
88,would
89,give
90,my
91,heart
92,gladly
93,day
94,she
95,walks
96,sea
97,she
98,looks
99,straight
100,ahead
101,me
102,tall
103,tan
104,young
105,lovely
106,girl
107,ipanema
108,goes
109,walking
110,she
111,passes
112,i
113,smile
114,she
115,see
116,she
117,ain't
118,looking
119,me
