,Higher Love_James Vincent McMorrow
0,think
1,must
2,higher
3,love
4,heart
5,stars
6,without
7,life
8,wasted
9,time
10,look
11,inside
12,your
13,heart
14,i'll
15,look
16,inside
17,mine
18,prehook
19,things
20,look
21,bad
22,everywhere
23,whole
24,world
25,what's
26,fair
27,walk
28,blind
29,try
30,see
31,falling
32,behind
33,could
34,bring
35,me
36,higher
37,love
38,bring
39,me
40,higher
41,love
42,bring
43,me
44,higher
45,love
46,where's
47,higher
48,love
49,i've
50,thinking
51,worlds
52,turning
53,we're
54,hanging
55,facing
56,fear
57,standing
58,alone
59,oh
60,yearning
61,real
62,me
63,must
64,someone
65,who's
66,feeling
67,me
68,prehook
69,things
70,look
71,bad
72,everywhere
73,whole
74,world
75,what's
76,fair
77,walk
78,blind
79,try
80,see
81,falling
82,behind
83,could
84,bring
85,me
86,higher
87,love
88,bring
89,me
90,higher
91,love
92,bring
93,me
94,higher
95,love
96,where's
97,higher
98,love
99,i've
100,thinking
101,i
102,wait
103,i'm
104,late
105,i'll
106,sing
107,my
108,song
109,cheer
110,night
111,along
112,i
113,could
114,light
115,night
116,my
117,soul
118,fire
119,i
120,could
121,make
122,sun
123,shine
124,pure
125,desire
126,let
127,me
128,feel
129,love
130,come
131,me
132,let
133,me
134,feel
135,strong
136,bring
137,me
138,higher
139,love
140,bring
141,me
142,higher
143,love
144,oh
145,bring
146,me
147,higher
148,love
149,i
150,could
151,rise
152,higher
153,love
