,Say Something Loving_The xx
0,alessi
1,brothers
2,slips
3,away
4,oliver
5,sim
6,romy
7,madley
8,croft
9,say
10,something
11,loving
12,i
13,remember
14,thrill
15,affection
16,i
17,remember
18,say
19,something
20,loving
21,i
22,need
23,reminder
24,feeling's
25,escaped
26,me
27,romy
28,madley
29,croft
30,i
31,went
32,looking
33,could
34,anyone's
35,kiss
36,throwing
37,my
38,arms
39,one
40,i
41,gave
42,i
43,found
44,love
45,oliver
46,sim
47,thought
48,flows
49,my
50,mind
51,growing
52,time
53,i
54,myself
55,disservice
56,feel
57,weak
58,nervous
59,oliver
60,sim
61,romy
62,madley
63,croft
64,you
65,say
66,something
67,loving
68,overwhelming
69,thrill
70,affection
71,feels
72,unfamiliar
73,you
74,say
75,something
76,loving
77,without
78,hesitation
79,hits
80,me
81,hits
82,me
83,feels
84,unfamiliar
85,postchorus
86,alessi
87,brothers
88,slips
89,away
90,romy
91,madley
92,croft
93,your
94,touch
95,stays
96,my
97,skin
98,i
99,feel
100,start
101,sinking
102,come
103,my
104,insecurities
105,i
106,almost
107,expect
108,you
109,leave
110,oliver
111,sim
112,you
113,really
114,looking
115,me
116,try
117,your
118,best
119,reassure
120,me
121,i
122,patient
123,meet
124,you
125,i
126,needy
127,i
128,eager
129,interlude
130,romy
131,madley
132,croft
133,oliver
134,sim
135,i
136,know
137,i
138,know
139,i
140,know
141,i
142,know
143,feel
144,wrong
145,i
146,know
147,i
148,know
149,i
150,know
151,i
152,know
153,feel
154,wrong
155,prechorus
156,oliver
157,sim
158,romy
159,madley
160,croft
161,you
162,hear
163,me
164,say
165,say
166,you
167,hear
168,me
169,say
170,oliver
171,sim
172,romy
173,madley
174,croft
175,i
176,say
177,something
178,loving
179,i
180,can't
181,hold
182,inside
183,thrill
184,affection
185,getting
186,stronger
187,i
188,say
189,something
190,loving
191,my
192,hesitations
193,fading
194,fading
195,i
196,feel
197,taking
198,oliver
199,sim
200,romy
201,madley
202,croft
203,alessi
204,brothers
205,slips
206,away
207,let
208,slip
209,away
210,slips
211,away
212,let
213,slip
214,away
