,Little Things_One Direction
0,zayn
1,&
2,liam
3,&
4,hand
5,fits
6,mine
7,like
8,made
9,bear
10,mind
11,meant
12,i'm
13,joining
14,dots
15,freckles
16,cheeks
17,makes
18,sense
19,know
20,never
21,loved
22,crinkles
23,eyes
24,smile
25,never
26,loved
27,stomach
28,thighs
29,dimples
30,back
31,bottom
32,spine
33,i’ll
34,love
35,endlessly
36,zayn
37,liam
38,let
39,little
40,things
41,slip
42,mouth
43,oh
44,add
45,i'm
46,love
47,little
48,things
49,louis
50,&
51,harry
52,&
53,harry
54,louis
55,&
56,harry
57,niall
58,can't
59,go
60,bed
61,without
62,cup
63,tea
64,maybe
65,that's
66,reason
67,talk
68,sleep
69,conversations
70,secrets
71,keep
72,though
73,makes
74,sense
75,know
76,never
77,loved
78,sound
79,voice
80,tape
81,never
82,want
83,know
84,much
85,weigh
86,still
87,squeeze
88,jeans
89,perfect
90,harry
91,niall
92,&
93,harry
94,let
95,little
96,things
97,slip
98,mouth
99,true
100,add
101,i'm
102,love
103,little
104,things
105,bridge
106,niall
107,never
108,love
109,half
110,much
111,love
112,never
113,treat
114,right
115,darling
116,want
117,let
118,know
119,i'm
120,maybe
121,love
122,like
123,love
124,oh
125,harry
126,&
127,i've
128,let
129,little
130,things
131,slip
132,mouth
133,'cause
134,oh
135,add
136,i'm
137,love
138,little
139,things
140,let
141,little
142,things
143,slip
144,mouth
145,true
146,add
147,i'm
148,love
149,little
150,things
