,Forget Her_Jeff Buckley
0,town
1,busy
2,sleeping
3,noise
4,died
5,away
6,walk
7,streets
8,stop
9,weeping
10,cause
11,she'll
12,never
13,change
14,ways
15,fool
16,heartache
17,moment
18,met
19,ah
20,heart
21,feels
22,still
23,try
24,find
25,forget
26,somehow
27,oh
28,think
29,i've
30,forgotten
31,love
32,rose
33,pale
34,dying
35,dropping
36,petals
37,land
38,unknown
39,full
40,wine
41,world
42,sober
43,place
44,go
45,fool
46,heartache
47,moment
48,met
49,heart
50,frozen
51,still
52,try
53,find
54,forget
55,somehow
56,somewhere
57,interlude
58,well
59,tears
60,falling
61,try
62,forget
63,love
64,joke
65,day
66,met
67,words
68,men
69,pain
70,think
71,back
72,remember
73,hair
74,shone
75,sun
76,smell
77,bed
78,knew
79,she'd
80,done
81,tell
82,ever
83,needchorus
84,fool
85,heartache
86,moment
87,met
88,oh
89,heart
90,frozen
91,still
92,try
93,find
94,forget
95,somehow
96,somewhere
97,outro
98,oh
99,heartache
100,day
101,first
102,met
103,heart
104,frozen
105,still
106,try
107,find
108,forget
109,somehow
110,cause
111,know
112,somewhere
113,right
