,Purple Rain_Prince
0,i
1,never
2,meant
3,cause
4,you
5,sorrow
6,i
7,never
8,meant
9,cause
10,you
11,pain
12,i
13,wanted
14,one
15,time
16,see
17,you
18,laughing
19,prechorus
20,i
21,wanted
22,see
23,you
24,laughing
25,purple
26,rain
27,purple
28,rain
29,purple
30,rain
31,purple
32,rain
33,purple
34,rain
35,purple
36,rain
37,purple
38,rain
39,i
40,want
41,see
42,you
43,bathing
44,purple
45,rain
46,i
47,never
48,wanted
49,your
50,weekend
51,lover
52,i
53,wanted
54,kind
55,friend
56,hey
57,baby
58,i
59,could
60,never
61,steal
62,you
63,another
64,prechorus
65,shame
66,friendship
67,end
68,purple
69,rain
70,purple
71,rain
72,purple
73,rain
74,purple
75,rain
76,purple
77,rain
78,purple
79,rain
80,i
81,want
82,see
83,you
84,underneath
85,purple
86,rain
87,honey
88,i
89,know
90,i
91,know
92,i
93,know
94,times
95,changing
96,time
97,reach
98,something
99,new
100,means
101,you
102,you
103,say
104,you
105,want
106,leader
107,you
108,can't
109,seem
110,make
111,your
112,mind
113,prechorus
114,i
115,think
116,you
117,better
118,close
119,let
120,me
121,guide
122,you
123,purple
124,rain
125,purple
126,rain
127,purple
128,rain
129,purple
130,rain
131,purple
132,rain
133,wooo
134,you
135,know
136,i'm
137,singing
138,come
139,raise
140,your
141,hand
142,purple
143,rain
144,purple
145,rain
146,i
147,want
148,see
149,you
150,want
151,see
152,you
153,purple
154,rain
155,instrumental
156,346840
157,guitar
158,solo
