,Drawn to the Blood_Sufjan Stevens
0,i’m
1,drawn
2,blood
3,flight
4,onewinged
5,dove
6,happen
7,happen
8,strength
9,his
10,arm
11,my
12,lover
13,caught
14,me
15,guard
16,head
17,rabbit
18,head
19,rabbit
20,my
21,prayer
22,always
23,love
24,i
25,deserve
26,blood
27,my
28,sleeve
29,delilah
30,avenge
31,my
32,grief
33,god
34,elijah
35,god
36,elijah
37,fire
38,sun
39,tell
40,me
41,i
42,done
43,heart
44,dragon
45,heart
46,dragon
47,my
48,prayer
49,always
50,love
51,i
52,deserve
53,happen
