,Warning Sign_Coldplay
0,warning
1,sign
2,i
3,missed
4,good
5,part
6,i
7,realized
8,i
9,started
10,looking
11,bubble
12,burst
13,i
14,started
15,looking
16,excuses
17,prechorus
18,come
19,i've
20,gotta
21,tell
22,you
23,state
24,i'm
25,i've
26,gotta
27,tell
28,you
29,my
30,loudest
31,tones
32,i
33,started
34,looking
35,warning
36,sign
37,truth
38,i
39,miss
40,you
41,yeah
42,truth
43,i
44,miss
45,you
46,warning
47,sign
48,came
49,back
50,haunt
51,me
52,i
53,realized
54,you
55,island
56,i
57,passed
58,you
59,you
60,island
61,discover
62,prechorus
63,come
64,i've
65,gotta
66,tell
67,you
68,state
69,i'm
70,i've
71,gotta
72,tell
73,you
74,my
75,loudest
76,tones
77,i
78,started
79,looking
80,warning
81,sign
82,truth
83,i
84,miss
85,you
86,yeah
87,truth
88,i
89,miss
90,you
91,i'm
92,tired
93,i
94,let
95,you
96,go
97,i
98,crawl
99,back
100,your
101,open
102,arms
103,yes
104,i
105,crawl
106,back
107,your
108,open
109,arms
110,i
111,crawl
112,back
113,your
114,open
115,arms
116,yes
117,i
118,crawl
119,back
120,your
121,open
122,arms
