,Blue Skies_Noah and the Whale
0,song
1,anyone
2,broken
3,heart
4,song
5,anyone
6,can't
7,get
8,bed
9,pre-chorus
10,i'll
11,anything
12,happy
13,oh
14,'cause
15,blue
16,skies
17,coming
18,know
19,hard
20,last
21,song
22,write
23,still
24,love
25,last
26,song
27,write
28,even
29,mind
30,pre-chorus
31,cause
32,time
33,leave
34,feelings
35,behind
36,oh
37,'cause
38,blue
39,skies
40,coming
41,know
42,hard
43,bridge
44,think
45,end
46,know
47,can't
48,keep
49,going
50,think
51,end
52,know
53,can't
54,keep
55,going
56,blue
57,skies
58,coming
59,oh
60,yeah
61,blue
62,skies
63,coming
64,oh
65,blue
66,skies
67,coming
68,know
69,hard
