,I'm Not in Love_10cc
0,i'm
1,love
2,forget
3,silly
4,phase
5,i'm
6,going
7,i
8,call
9,you
10,get
11,me
12,wrong
13,think
14,you've
15,got
16,made
17,i'm
18,love
19,i
20,like
21,see
22,you
23,mean
24,you
25,mean
26,much
27,me
28,i
29,call
30,you
31,make
32,fuss
33,tell
34,your
35,friends
36,two
37,us
38,i'm
39,love
40,interlude
41,quiet
42,big
43,boys
44,cry
45,big
46,boys
47,cry
48,big
49,boys
50,cry
51,big
52,boys
53,cry
54,big
55,boys
56,cry
57,big
58,boys
59,cry
60,i
61,keep
62,your
63,picture
64,upon
65,wall
66,hides
67,nasty
68,stain
69,that's
70,lying
71,you
72,ask
73,me
74,give
75,back
76,i
77,know
78,you
79,know
80,mean
81,much
82,me
83,i'm
84,love
85,ooh
86,you'll
87,wait
88,long
89,time
90,me
91,ooh
92,you'll
93,wait
94,long
95,time
96,ooh
97,you'll
98,wait
99,long
100,time
101,me
102,ooh
103,you'll
104,wait
105,long
106,time
107,i'm
108,love
109,forget
110,silly
111,phase
112,i'm
113,going
114,i
115,call
116,you
117,get
118,me
119,wrong
120,think
121,you've
122,got
123,made
124,chorusoutro
125,i'm
126,love
127,i'm
128,love
