,Unsolved Mysteries_Animal Collective
0,oh
1,look
2,me
3,sweet
4,boy's
5,plea
6,his
7,mother
8,cried
9,my
10,child's
11,tied
12,his
13,laces
14,must
15,move
16,happy
17,lawns
18,nostalgia's
19,palm
20,feed
21,traces
22,you
23,hop
24,dance
25,embarrass
26,parents
27,i
28,please
29,i
30,go
31,sleep
32,worrying
33,blood
34,dark
35,attract
36,sharks
37,violent
38,got
39,hungry
40,bellies
41,still
42,unborn
43,could
44,look
45,me
46,one
47,eye
48,could
49,look
50,me
51,eyes
52,could
53,look
54,me
55,me
56,eyes
57,what's
58,pain
59,what's
60,sadness
61,anyway
62,crying
63,like
64,child
65,what's
66,graying
67,what's
68,aging
69,anyway
70,growing
71,wild
72,i
73,feel
74,like
75,i've
76,born
77,you
78,look
79,me
80,your
81,green
82,eyes
83,you
84,look
85,me
86,your
87,black
88,eyes
89,you
90,look
91,me
92,your
93,dead
94,eyes
95,i
96,can't
97,understand
98,holding
99,her
100,hand
101,womanly
102,i
103,go
104,kiss
105,her
106,surprise
107,look
108,eyes
109,find
110,suddenly
111,he
112,jack
113,ripper
114,suddenly
115,he
116,jack
117,ripper
118,he
119,stopped
120,crying
121,like
122,child
123,she
124,stopped
125,crying
126,like
127,child
128,jack
129,ripper
130,x3
