,Here Without You_3 Doors Down
0,hundred
1,days
2,made
3,older
4,since
5,last
6,time
7,saw
8,pretty
9,face
10,thousand
11,lies
12,made
13,colder
14,think
15,look
16,miles
17,separate
18,disappear
19,i'm
20,dreaming
21,face
22,i'm
23,without
24,baby
25,still
26,lonely
27,mind
28,think
29,baby
30,dream
31,time
32,i'm
33,without
34,baby
35,still
36,dreams
37,tonight
38,yeah
39,miles
40,keep
41,rolling
42,people
43,leave
44,way
45,say
46,hello
47,i've
48,heard
49,life
50,overrated
51,hope
52,gets
53,better
54,go
55,oh
56,yeah
57,yeah
58,i'm
59,without
60,baby
61,still
62,lonely
63,mind
64,think
65,baby
66,dream
67,time
68,i'm
69,without
70,baby
71,still
72,dreams
73,tonight
74,girl
75,yeah
76,bridge
77,everything
78,know
79,anywhere
80,go
81,gets
82,hard
83,take
84,away
85,love
86,last
87,one
88,falls
89,said
90,done
91,gets
92,hard
93,take
94,away
95,love
96,whoa
97,oh
98,oh
99,instrumental
100,bridge
101,i'm
102,without
103,baby
104,still
105,lonely
106,mind
107,think
108,baby
109,dream
110,time
111,i'm
112,without
113,baby
114,still
115,dreams
116,tonight
117,girl
118,yeah
119,oh
120,yeah
