,Jealous_Beyoncé
0,i'm
1,penthouse
2,half-naked
3,cooked
4,meal
5,naked
6,hell
7,one
8,shot
9,left
10,drink
11,glass
12,make
13,break
14,wish
15,could
16,feel
17,feeling
18,never
19,broke
20,one
21,promise
22,know
23,honest
24,got
25,yelling
26,that's
27,i'm
28,jealous
29,keeping
30,promise
31,i'm
32,keeping
33,mine
34,oh
35,i'm
36,jealous
37,keeping
38,promise
39,i'm
40,keeping
41,mine
42,oh
43,i'm
44,jealous
45,post-chorus
46,sometimes
47,wanna
48,walk
49,shoes
50,type
51,things
52,never
53,ever
54,take
55,one
56,look
57,mirror
58,say
59,"""baby"
60,girl
61,can't
62,survive
63,like
64,"no"""
65,take
66,one
67,step
68,freakum
69,dress
70,closet
71,yoncé
72,fillin'
73,skirt
74,look
75,damn
76,good
77,ain't
78,lost
79,ain't
80,missed
81,beat
82,boy
83,hanging
84,night
85,tonight
86,i'm
87,staying
88,'til
89,tomorrow
90,dancing
91,tables
92,ain't
93,got
94,cares
95,sorrow
96,ran
97,ex
98,said
99,besties
100,reminiscing
101,used
102,flex
103,texas
104,jealous
105,keeping
106,promise
107,i'm
108,keeping
109,mine
110,oh
111,i'm
112,jealous
113,keeping
114,promise
115,i'm
116,keeping
117,mine
118,oh
119,i'm
120,jealous
121,post-chorus
122,sometimes
123,wanna
124,walk
125,shoes
126,type
127,things
128,never
129,ever
130,take
131,one
132,look
133,mirror
134,say
135,"""baby"
136,girl
137,can't
138,survive
139,like
140,"no"""
141,bridge
142,hate
143,lies
144,covers
145,hate
146,us
147,making
148,good
149,love
150,love
151,making
152,jealous
153,judge
154,know
155,i'm
156,hateful
157,ain't
158,nothing
159,ain't
160,nothing
161,i'm
162,jealous
163,i'm
164,human
165,judge
166,keeping
167,promise
168,i'm
169,keeping
170,mine
171,oh
172,i'm
173,jealous
174,keeping
175,promise
176,i'm
177,keeping
178,mine
179,oh
180,i'm
181,jealous
