,Paper Shoes_Incubus
0,i
1,fly
2,i
3,soar
4,i
5,adore
6,like
7,locomotive
8,sound
9,your
10,sorrow
11,comes
12,i’m
13,tired
14,way
15,feels
16,i
17,apologized
18,you
19,make
20,you
21,feel
22,better
23,i
24,think
25,i've
26,outgrown
27,horsehair
28,sweater
29,i’d
30,rather
31,alone
32,you’re
33,reliable
34,paper
35,shoes
36,bad
37,weather
38,pain
39,roll
40,like
41,water
42,feather
43,you
44,fly
45,you
46,soar
47,like
48,locomotive
49,sound
50,your
51,sorrow
52,comes
53,i’m
54,tired
55,way
56,feels
57,i
58,apologized
59,you
60,make
61,you
62,feel
63,better
64,i
65,think
66,i've
67,outgrown
68,horsehair
69,sweater
70,i’d
71,rather
72,alone
73,you’re
74,reliable
75,paper
76,shoes
77,bad
78,weather
79,pain
80,roll
81,like
82,water
83,feather
84,like
85,locomotive
86,sound
87,your
88,sorrow
89,comes
90,i’m
91,tired
92,way
93,feels
94,i
95,apologized
96,you
97,make
98,you
99,feel
100,better
101,i
102,think
103,i've
104,outgrown
105,horsehair
106,sweater
107,i’d
108,rather
109,alone
110,you’re
111,reliable
112,paper
113,shoes
114,bad
115,weather
116,pain
117,roll
118,like
119,water
120,feather
