,Own It_Drake
0,produced
1,noah
2,shebib
3,partynextdoor
4,partynextdoor
5,yours
6,yours
7,drake
8,yours
9,you're
10,still
11,one
12,i
13,adore
14,ain't
15,much
16,feelings
17,guess
18,whose
19,guess
20,whose
21,guess
22,whose
23,guess
24,whose
25,yours
26,bottles
27,table
28,waters
29,ain't
30,secret
31,baby
32,everybody
33,saw
34,us
35,guess
36,whose
37,guess
38,whose
39,guess
40,whose
41,yours
42,next
43,time
44,fuck
45,i
46,wanna
47,fuck
48,i
49,wanna
50,make
51,love
52,next
53,time
54,talk
55,i
56,wanna
57,talk
58,i
59,wanna
60,trust
61,next
62,time
63,i
64,stand
65,tall
66,i
67,wanna
68,standin'
69,you
70,next
71,time
72,i
73,spend
74,i
75,want
76,you
77,peakin'
78,i'm
79,peakin'
80,wake
81,me
82,weekend
83,oh
84,guess
85,whose
86,guess
87,whose
88,guess
89,whose
90,yours
91,partynextdoor
92,i
93,said
94,go
95,shit
96,shit
97,shit
98,shit
99,go
100,shit
101,shit
102,shit
103,you
104,shit
105,go
106,i
107,said
108,go
109,shit
110,shit
111,shit
112,shit
113,go
114,shit
115,shit
116,shit
117,you
118,shit
119,go
120,drake
121,niggas
122,talk
123,bitches
124,days
125,let
126,shit
127,sink
128,ha
129,niggas
130,talk
131,bitches
132,days
133,could
134,get
135,pussy
136,quicker
137,days
138,still
139,straight
140,weed
141,liquor
142,days
143,cause
144,new
145,drugs
146,got
147,kids
148,trippin'
149,days
150,bunch
151,journalists
152,searchin'
153,story
154,my
155,exgirl
156,searchin'
157,sorry
158,couple
159,bitches
160,tryna
161,me
162,maury
163,like
164,nigga
165,yours
166,you
167,supportin'
168,you
169,tour
170,gettin'
171,money
172,y'all
173,even
174,really
175,check
176,me
177,you
178,ain't
179,even
180,hit
181,me
182,nigga
183,threats
184,me
185,girl
186,you
187,love
188,me
189,you
190,say
191,shit
192,get
193,me
194,girl
195,cause
196,you
197,got
198,batphone
199,my
200,workline
201,you
202,call
203,last
204,time
205,you
206,somethin'
207,first
208,time
209,you
210,done
211,done
212,i
213,swear
214,god
215,niggas
216,talk
217,bitches
218,days
219,got
220,you
221,thinkin'
222,i'm
223,different
224,days
225,broken
226,telephone
227,every
228,single
229,conversation
230,time
231,gets
232,you
233,shit
234,switches
235,days
236,yours
237,yours
238,yours
239,always
240,gonna
241,yours
242,partynextdoor
243,i
244,said
245,go
246,shit
247,yours
248,yours
249,baby
250,yours
251,shit
252,shit
253,shit
