,To Build a Home_The Cinematic Orchestra
0,house
1,built
2,stone
3,wooden
4,floors
5,walls
6,window
7,sills
8,tables
9,chairs
10,worn
11,dust
12,place
13,i
14,feel
15,alone
16,place
17,i
18,feel
19,home
20,i
21,built
22,home
23,you
24,me
25,disappeared
26,me
27,you
28,time
29,leave
30,turn
31,dust
32,garden
33,planted
34,seeds
35,tree
36,old
37,me
38,branches
39,sewn
40,color
41,green
42,ground
43,arose
44,passed
45,knees
46,cracks
47,skin
48,i
49,climbed
50,top
51,i
52,climbed
53,tree
54,see
55,world
56,gusts
57,came
58,around
59,blow
60,me
61,held
62,tightly
63,you
64,held
65,onto
66,me
67,held
68,tightly
69,you
70,held
71,onto
72,me
73,i
74,built
75,home
76,you
77,me
78,disappeared
79,me
80,you
81,time
82,leave
83,turn
84,dust
