,Falling for You_Weezer
0,"""어는"
1,"회사작품이지요"""
2,holy
3,cow
4,think
5,i've
6,got
7,one
8,supposed
9,i've
10,got
11,number
12,irrational
13,fears
14,i'd
15,like
16,share
17,first
18,there's
19,rules
20,old
21,goats
22,like
23,hanging
24,'round
25,chicks
26,like
27,like
28,another
29,one
30,say
31,'like'
32,much
33,i'm
34,shaking
35,touch
36,like
37,way
38,much
39,baby
40,i'm
41,afraid
42,i'm
43,falling
44,i'd
45,'bout
46,anything
47,get
48,hell
49,alive
50,maybe
51,would
52,rather
53,settle
54,oh
55,holy
56,moly
57,baby
58,know
59,busting
60,loose
61,gotta
62,go
63,turn
64,rock
65,star
66,card
67,get
68,fat
69,old
70,'cause
71,i'm
72,burning
73,candle
74,gentle
75,moth
76,teaching
77,lick
78,little
79,bit
80,kinder
81,like
82,-
83,lucky
84,one
85,i'm
86,lucky
87,one
88,i'm
89,shaking
90,touch
91,like
92,way
93,much
94,baby
95,i'm
96,afraid
97,i'm
98,falling
99,i'd
100,'bout
101,anything
102,get
103,hell
104,alive
105,maybe
106,would
107,rather
108,settle
109,guitar
110,solo
111,holy
112,sweet
113,goddamn
114,left
115,cello
116,basement
117,admired
118,glowing
119,stars
120,tried
121,play
122,tune
123,can't
124,believe
125,bad
126,suck
127,true
128,could
129,possibly
130,see
131,little
132,ol'
133,three
134,chord
135,like
136,like
137,i'm
138,ready
139,let's
140,baby
141,i'm
142,shaking
143,touch
144,like
145,way
146,much
147,baby
148,i'm
149,afraid
150,i'm
151,falling
152,i'd
153,'bout
154,anything
155,get
156,hell
157,alive
158,maybe
159,would
160,rather
161,settle
162,outro
163,oh
