,I'm Yours_The Script
0,you
1,touch
2,tired
3,eyes
4,mine
5,map
6,my
7,face
8,line
9,line
10,somehow
11,growing
12,old
13,feels
14,fine
15,listen
16,close
17,i'm
18,smart
19,you
20,wrap
21,your
22,thoughts
23,works
24,art
25,they're
26,hanging
27,walls
28,my
29,heart
30,prechorus
31,i
32,may
33,softest
34,touch
35,i
36,may
37,say
38,words
39,though
40,i
41,may
42,look
43,like
44,much
45,i'm
46,yours
47,though
48,my
49,edges
50,may
51,rough
52,i
53,never
54,feel
55,i'm
56,quite
57,enough
58,may
59,seem
60,like
61,much
62,i'm
63,yours
64,you
65,healed
66,scars
67,time
68,embraced
69,my
70,soul
71,you
72,loved
73,my
74,mind
75,you're
76,angel
77,my
78,life
79,day
80,news
81,came
82,my
83,best
84,friend
85,died
86,my
87,knees
88,went
89,weak
90,you
91,saw
92,me
93,cry
94,say
95,i'm
96,still
97,soldier
98,your
99,eyes
100,prechorus
101,i
102,may
103,softest
104,touch
105,i
106,may
107,say
108,words
109,though
110,i
111,may
112,look
113,like
114,much
115,i'm
116,yours
117,though
118,my
119,edges
120,may
121,rough
122,i
123,never
124,feel
125,i'm
126,quite
127,enough
128,may
129,seem
130,like
131,much
132,i'm
133,yours
134,prechorus
135,repeated
136,i
137,may
138,softest
139,touch
140,i
141,may
142,say
143,words
144,i
145,know
146,i
147,fit
148,much
149,i'm
150,yours
