,It Won't Be Long_The Beatles
0,long
1,yeah
2,yeah
3,yeah
4,long
5,yeah
6,yeah
7,yeah
8,long
9,yeah
10,till
11,i
12,belong
13,you
14,every
15,night
16,everybody
17,fun
18,i
19,sitting
20,my
21,long
22,yeah
23,yeah
24,yeah
25,long
26,yeah
27,yeah
28,yeah
29,long
30,yeah
31,till
32,i
33,belong
34,you
35,since
36,you
37,left
38,me
39,i'm
40,alone
41,you're
42,coming
43,you're
44,coming
45,home
46,i'll
47,good
48,like
49,i
50,know
51,i
52,you're
53,coming
54,home
55,you're
56,coming
57,home
58,every
59,night
60,tears
61,come
62,my
63,eyes
64,every
65,day
66,i've
67,done
68,nothing
69,cry
70,long
71,yeah
72,yeah
73,yeah
74,long
75,yeah
76,yeah
77,yeah
78,long
79,yeah
80,till
81,i
82,belong
83,you
84,since
85,you
86,left
87,me
88,i'm
89,alone
90,you're
91,coming
92,you're
93,coming
94,home
95,i'll
96,good
97,like
98,i
99,know
100,i
101,you're
102,coming
103,home
104,you're
105,coming
106,home
107,every
108,day
109,we'll
110,happy
111,i
112,know
113,i
114,know
115,you
116,leave
117,me
118,long
119,yeah
120,yeah
121,yeah
122,long
123,yeah
124,yeah
125,long
126,yeah
127,till
128,i
129,belong
130,you
