,Swallowed in the Sea_Coldplay
0,cut
1,tree
2,brought
3,back
4,that's
5,made
6,see
7,going
8,wrong
9,put
10,shelf
11,kept
12,blame
13,blame
14,could
15,write
16,song
17,hundred
18,miles
19,long
20,well
21,that's
22,belong
23,belong
24,could
25,write
26,spread
27,around
28,get
29,lost
30,get
31,found
32,swallowed
33,sea
34,put
35,line
36,hung
37,dry
38,darling
39,that's
40,decided
41,go
42,see
43,cut
44,size
45,opened
46,eyes
47,made
48,realize
49,could
50,see
51,could
52,write
53,book
54,one
55,they'll
56,say
57,shook
58,world
59,took
60,took
61,back
62,could
63,write
64,spread
65,around
66,get
67,lost
68,get
69,found
70,come
71,back
72,swallowed
73,sea
74,ooh
75,ah
76,ooh
77,ah
78,could
79,write
80,song
81,hundred
82,miles
83,long
84,well
85,that's
86,belong
87,belong
88,streets
89,walking
90,thousand
91,houses
92,long
93,well
94,that's
95,belong
96,belong
97,breakdown
98,oh
99,good
100,live
101,nothing
102,left
103,give
104,forget
105,forgive
106,loving
107,see
108,streets
109,walking
110,thousand
111,houses
112,long
113,well
114,that's
115,belong
116,belong
117,swallowed
118,sea
119,belong
120,swallowed
121,sea
122,yeah
123,belong
124,swallowed
125,sea
