,I Believe I Can Fly_R. Kelly
0,i
1,used
2,think
3,i
4,could
5,go
6,life
7,nothing
8,awful
9,song
10,i
11,know
12,meaning
13,true
14,love
15,i'm
16,leaning
17,everlasting
18,arms
19,refrain
20,i
21,see
22,i
23,i
24,believe
25,there's
26,nothing
27,i
28,believe
29,i
30,fly
31,i
32,believe
33,i
34,touch
35,sky
36,i
37,think
38,every
39,night
40,day
41,spread
42,my
43,wings
44,fly
45,away
46,i
47,believe
48,i
49,soar
50,i
51,see
52,me
53,running
54,open
55,door
56,i
57,believe
58,i
59,fly
60,i
61,believe
62,i
63,fly
64,i
65,believe
66,i
67,fly
68,woo
69,see
70,i
71,verge
72,breaking
73,sometimes
74,silence
75,seem
76,loud
77,miracles
78,life
79,i
80,must
81,achieve
82,first
83,i
84,know
85,starts
86,inside
87,me
88,hooh
89,refrain
90,i
91,see
92,woo
93,i
94,i
95,believe
96,there's
97,nothing
98,i
99,believe
100,i
101,fly
102,i
103,believe
104,i
105,touch
106,sky
107,i
108,think
109,every
110,night
111,day
112,spread
113,my
114,wings
115,fly
116,away
117,i
118,believe
119,i
120,soar
121,i
122,see
123,me
124,running
125,open
126,door
127,i
128,believe
129,i
130,fly
131,i
132,believe
133,i
134,fly
135,oh
136,i
137,believe
138,i
139,fly
140,woo
141,hey
142,'cause
143,i
144,believe
145,me
146,ohhh
147,refrain
148,i
149,see
150,woo
151,i
152,i
153,i
154,believe
155,there's
156,nothing
157,hey
158,i
159,believe
160,i
161,fly
162,woo
163,i
164,believe
165,i
166,touch
167,sky
168,i
169,think
170,every
171,night
172,day
173,spread
174,my
175,wings
176,fly
177,away
178,i
179,believe
180,i
181,soar
182,i
183,see
184,me
185,running
186,open
187,door
188,i
189,believe
190,i
191,fly
192,i
193,fly
194,i
195,believe
196,i
197,fly
198,i
199,fly
200,i
201,believe
202,i
203,fly
204,i
205,fly
206,hey
207,i
208,spread
209,my
210,wings
211,i
212,fly
213,i
214,fly
215,i
216,fly
217,i
218,fly
219,i
220,fly
221,i
222,fly
223,hey
224,i
225,fly
226,i
227,spread
228,my
229,wings
230,i
231,fly
232,i
233,fly
234,i
235,fly
236,i
237,fly
238,woo
239,i
240,fly
241,flyeyeeye
