,"Hey, Soul Sister_Train"
0,heyy
1,heeey
2,heey
3,lipstick
4,stains
5,front
6,lobe
7,leftside
8,brains
9,knew
10,forget
11,went
12,let
13,blow
14,mind
15,sweet
16,moonbeam
17,smell
18,every
19,single
20,dream
21,dream
22,knew
23,collided
24,one
25,decided
26,who's
27,one
28,kind
29,hey
30,soul
31,sister
32,ain't
33,mr
34,mister
35,radio
36,stereo
37,way
38,move
39,ain't
40,fair
41,know
42,hey
43,soul
44,sister
45,want
46,miss
47,single
48,thing
49,tonight
50,interlude
51,heyy
52,heeey
53,heey
54,time
55,i'm
56,glad
57,one
58,track
59,mind
60,like
61,gave
62,life
63,direction
64,game
65,show
66,love
67,connection
68,can't
69,deny
70,i'm
71,obsessed
72,heart
73,bound
74,beat
75,right
76,untrimmed
77,chest
78,believe
79,like
80,virgin
81,madonna
82,i'm
83,always
84,gonna
85,wanna
86,blow
87,mind
88,hey
89,soul
90,sister
91,ain't
92,mr
93,mister
94,radio
95,stereo
96,way
97,move
98,ain't
99,fair
100,know
101,hey
102,soul
103,sister
104,want
105,miss
106,single
107,thing
108,tonight
109,way
110,cut
111,rug
112,watching
113,you's
114,drug
115,need
116,gangster
117,i'm
118,thug
119,one
120,i'm
121,dreaming
122,see
123,finally
124,fact
125,there's
126,nothing
127,can't
128,want
129,world
130,see
131,hey
132,soul
133,sister
134,ain't
135,mr
136,mister
137,radio
138,stereo
139,way
140,move
141,ain't
142,fair
143,know
144,hey
145,soul
146,sister
147,want
148,miss
149,single
150,thing
151,tonight
152,hey
153,soul
154,sister
155,want
156,miss
157,single
158,thing
159,tonight
160,heyy
161,heeey
162,heey
163,tonight
164,heyy
165,heeey
166,heey
167,tonight
