,Name_Goo Goo Dolls
0,even
1,though
2,moment
3,passed
4,me
5,i
6,still
7,can't
8,turn
9,away
10,dreams
11,you
12,never
13,thought
14,you'd
15,lose
16,tossed
17,along
18,way
19,letters
20,you
21,never
22,meant
23,send
24,get
25,lost
26,thrown
27,away
28,we're
29,grownup
30,orphans
31,never
32,knew
33,names
34,belong
35,one
36,that's
37,shame
38,you
39,could
40,hide
41,beside
42,me
43,maybe
44,i
45,tell
46,one
47,your
48,name
49,i
50,tell
51,'em
52,your
53,name
54,scars
55,souvenirs
56,you
57,never
58,lose
59,past
60,never
61,far
62,you
63,lose
64,yourself
65,somewhere
66,you
67,get
68,star
69,make
70,you
71,sad
72,know
73,life
74,you
75,grew
76,way
77,fast
78,there's
79,nothing
80,believe
81,reruns
82,become
83,history
84,tired
85,song
86,keeps
87,playing
88,tired
89,radio
90,i
91,tell
92,one
93,your
94,name
95,i
96,tell
97,'em
98,your
99,name
100,i
101,tell
102,'em
103,your
104,name
105,i
106,tell
107,'em
108,your
109,name
110,i
111,think
112,you
113,time
114,i
115,need
116,lonely
117,you
118,come
119,back
120,i
121,tell
122,'em
123,your
124,name
