,Desire_Years & Years
0,i
1,must
2,tough
3,i
4,must
5,behave
6,i
7,must
8,keep
9,fighting
10,give
11,i
12,want
13,keep
14,us
15,compromising
16,open
17,your
18,arms
19,pray
20,truth
21,you're
22,denying
23,give
24,game
25,sense
26,you've
27,hiding
28,prechorus
29,you
30,taking
31,me
32,i
33,can't
34,blamed
35,i
36,want
37,you
38,want
39,me
40,desire
41,love
42,i'm
43,feeling
44,you
45,i
46,want
47,desire
48,'cause
49,your
50,love
51,gets
52,me
53,abused
54,give
55,me
56,rush
57,i
58,want
59,show
60,you
61,you've
62,missing
63,i
64,enough
65,keep
66,your
67,lovers
68,hidden
69,prechorus
70,you
71,taking
72,me
73,i
74,can't
75,blamed
76,i
77,want
78,you
79,want
80,me
81,desire
82,love
83,i'm
84,feeling
85,you
86,i
87,want
88,desire
89,'cause
90,your
91,love
92,gets
93,me
94,abused
95,desire
96,desire
97,love
98,i'm
99,feeling
100,you
101,i
102,want
103,desire
104,i
105,wanna
106,see
107,you're
108,willing
109,lose
110,you
111,know
112,you've
113,got
114,me
115,you've
116,locked
117,me
118,you
119,tell
120,me
121,you
122,want
123,me
124,you
125,need
126,you
127,know
128,you've
129,got
130,me
131,you've
132,locked
133,me
134,you
135,tell
136,me
137,you
138,want
139,me
140,desire
141,desire
142,love
143,i'm
144,feeling
145,you
146,i
147,want
148,desire
149,i
150,want
151,desire
152,'cause
153,your
154,love
155,gets
156,me
157,abused
158,desire
159,desire
160,love
161,i'm
162,feeling
163,you
164,i'm
165,feeling
166,you
167,i
168,want
169,desire
170,i
171,wanna
172,see
173,you're
174,willing
175,lose
176,oh
177,you're
178,willing
179,lose
