,No Regrets_Robbie Williams
0,tell
1,me
2,story
3,change
4,we'd
5,live
6,lives
7,together
8,enstranged
9,prechorus
10,i
11,lose
12,my
13,mind
14,mine
15,give
16,away
17,stay
18,watch
19,me
20,cry
21,you
22,time
23,i
24,softly
25,slip
26,away
27,regrets
28,work
29,regrets
30,hurt
31,sing
32,me
33,love
34,song
35,drop
36,me
37,line
38,suppose
39,point
40,view
41,tell
42,me
43,i'm
44,fine
45,i
46,know
47,outside
48,looked
49,good
50,felt
51,things
52,going
53,wrong
54,you
55,like
56,my
57,mother
58,prechorus
59,i
60,want
61,hate
62,that's
63,you've
64,left
65,me
66,bitter
67,aftertaste
68,fantasy
69,could
70,live
71,regrets
72,work
73,regrets
74,hurt
75,we've
76,told
77,you
78,stay
79,late
80,i
81,know
82,they're
83,still
84,talking
85,you're
86,far
87,short
88,carry
89,weight
90,demons
91,your
92,head
93,return
94,videos
95,they're
96,late
97,i
98,could
99,stop
100,hating
101,you
102,goodbye
103,i'd
104,feel
105,sorry
106,us
107,instead
108,remember
109,photographs
110,insane
111,ones
112,laugh
113,lame
114,time
115,lives
116,well
117,thank
118,you
119,real
120,blast
121,regrets
122,work
123,regrets
124,hurt
125,write
126,me
127,love
128,song
129,drop
130,me
131,line
132,suppose
133,point
134,view
135,tell
136,me
137,i'm
138,fine
139,everything
140,i
141,wanted
142,every
143,time
144,i
145,walked
146,away
147,everytime
148,you
149,told
150,me
151,leave
152,i
153,wanted
154,stay
155,every
156,time
157,you
158,looked
159,me
160,everytime
161,you
162,smiled
163,i
164,felt
165,vacant
166,you
167,treat
168,me
169,like
170,child
171,i
172,loved
173,way
174,used
175,laugh
176,i
177,loved
178,way
179,used
180,smile
181,often
182,i
183,sit
184,think
185,you
186,passes
187,me
188,i
189,think
190,someone
191,else
192,instead
193,i
194,guess
195,love
196,officially
197,dead
