,I Just Want to Make Love to You_Etta James
0,i
1,want
2,you
3,slave
4,i
5,want
6,you
7,work
8,day
9,i
10,want
11,you
12,true
13,i
14,wanna
15,make
16,love
17,you
18,love
19,you
20,ooohooo
21,love
22,you
23,i
24,want
25,wash
26,your
27,clothes
28,i
29,want
30,keep
31,you
32,indoors
33,nothing
34,you
35,keep
36,me
37,making
38,love
39,you
40,love
41,you
42,ooohooo
43,love
44,you
45,i
46,tell
47,way
48,you
49,walk
50,walk
51,i
52,hear
53,way
54,you
55,talk
56,talk
57,i
58,know
59,way
60,you
61,treat
62,your
63,girl
64,i
65,could
66,give
67,you
68,loving
69,whole
70,wide
71,world
72,i
73,want
74,you
75,bake
76,your
77,bread
78,make
79,sure
80,you're
81,well
82,fed
83,i
84,want
85,you
86,sad
87,blue
88,i
89,wanna
90,make
91,love
92,you
93,love
94,you
95,ooohooo
96,love
97,you
98,oooh
99,i
100,tell
101,way
102,you
103,walk
104,walk
105,i
106,hear
107,way
108,you
109,talk
110,talk
111,i
112,know
113,way
114,you
115,treat
116,your
117,girl
118,i
119,could
120,give
121,you
122,loving
123,whole
124,wide
125,world
126,oh
127,i
128,wanna
129,i
130,wanna
131,cook
132,your
133,bread
134,make
135,sure
136,you're
137,well
138,fed
139,i
140,want
141,you
142,sad
143,blue
144,i
145,wanna
146,make
147,love
148,you
149,love
150,you
151,ooohooo
152,real
153,love
154,you
155,ooohooo
156,love
157,you
158,ooohooo
