,Strawberry Swing_Coldplay
0,sitting
1,sitting
2,strawberry
3,swing
4,every
5,moment
6,precious
7,sitting
8,talking
9,strawberry
10,swing
11,everybody
12,fighting
13,wanna
14,waste
15,thing
16,cold
17,cold
18,water
19,bring
20,me
21,'round
22,my
23,feet
24,touch
25,ground
26,cold
27,cold
28,water
29,ya
30,say
31,perfect
32,day
33,perfect
34,day
35,i
36,remember
37,walking
38,strawberry
39,swing
40,i
41,can't
42,wait
43,'til
44,morning
45,wanna
46,change
47,thing
48,people
49,moving
50,time
51,inside
52,perfectly
53,straight
54,line
55,you
56,wanna
57,curve
58,away
59,perfect
60,day
61,perfect
62,day
63,instrumental
64,ah
65,sky
66,could
67,blue
68,i
69,mind
70,without
71,you
72,waste
73,time
74,could
75,blue
76,i
77,mind
78,without
79,you
80,waste
81,time
82,well
83,sky
84,could
85,blue
86,could
87,grey
88,without
89,you
90,i'm
91,miles
92,away
93,well
94,sky
95,could
96,blue
97,i
98,mind
99,without
100,you
101,waste
102,time
