,Saturday Night_Misfits
0,hm
1,hmm
2,oh
3,oh
4,oh
5,oh
6,oh
7,oh
8,oh
9,oh
10,oh
11,there's
12,fiftytwo
13,ways
14,murder
15,anyone
16,one
17,two
18,work
19,well
20,i'm
21,coming
22,clean
23,amy
24,julie
25,scream
26,well
27,cops
28,listen
29,night
30,maybe
31,i'll
32,soon
33,i
34,fill
35,prechorus
36,i
37,remember
38,i
39,saw
40,her
41,last
42,runnin'
43,around
44,havin'
45,blast
46,havin'
47,blast
48,back
49,seat
50,drivein
51,lonely
52,without
53,you
54,i
55,know
56,you're
57,home
58,i
59,thinkin'
60,you
61,somethin'
62,i
63,forgot
64,say
65,i
66,cryin'
67,saturday
68,night
69,i
70,cruisin'
71,without
72,you
73,playin'
74,song
75,cryin'
76,saturday
77,night
78,moon
79,becomes
80,night
81,time
82,you
83,go
84,viciously
85,quietly
86,away
87,i'm
88,sitting
89,bedroom
90,used
91,sit
92,smoke
93,cigarettes
94,i'm
95,watchin'
96,watchin'
97,you
98,die
99,oh
100,oh
101,oh
102,oh
103,oh
104,prechorus
105,i
106,remember
107,i
108,saw
109,her
110,last
111,runnin'
112,around
113,havin'
114,blast
115,back
116,seat
117,drivein
118,lonely
119,without
120,you
121,i
122,know
123,you're
124,home
125,i
126,thinkin'
127,you
128,somethin'
129,i
130,forgot
131,say
132,i
133,cryin'
134,saturday
135,night
136,i
137,cruisin'
138,without
139,you
140,playin'
141,song
142,cryin'
143,saturday
144,night
145,cryin'
146,saturday
147,night
148,cryin'
149,saturday
150,night
