,I Would Do Anything for You_Foster the People
0,never
1,want
2,stand
3,upon
4,never
5,want
6,get
7,way
8,said
9,don’t
10,know
11,plan
12,share
13,‘cause
14,i’ll
15,listening
16,ear
17,everything
18,say
19,won’t
20,turn
21,away
22,i'll
23,listen
24,open
25,heart
26,must
27,say
28,love
29,ooooh
30,la
31,love
32,i’ve
33,fallen
34,love
35,it’s
36,better
37,time
38,ever
39,ooooh
40,la
41,love
42,i’ve
43,fallen
44,love
45,it’s
46,better
47,time
48,i’ve
49,ever
50,known
51,every
52,day
53,battle
54,face
55,strange
56,life
57,live
58,decided
59,i’ll
60,give
61,hands
62,i'll
63,i’ll
64,smile
65,speak
66,remember
67,times
68,hoping
69,something
70,shaking
71,head
72,done
73,never
74,left
75,ooooh
76,la
77,love
78,i’ve
79,fallen
80,love
81,it’s
82,better
83,time
84,ever
85,ooooh
86,la
87,love
88,i’ve
89,fallen
90,love
91,it’s
92,better
93,time
94,i’ve
95,ever
96,known
97,ooooh
98,la
99,love
100,i’ve
101,fallen
102,love
103,it’s
104,better
105,time
106,ever
107,ooooh
108,la
109,love
110,i’ve
111,fallen
112,love
113,it’s
114,better
115,time
116,i’ve
117,ever
118,known
119,bridge
120,give
121,would
122,give
123,would
124,give
125,i’d
126,anything
127,ooooh
128,la
129,love
130,i’ve
131,fallen
132,love
133,it’s
134,better
135,time
136,ever
137,ooooh
138,la
139,love
140,i’ve
141,fallen
142,love
143,it’s
144,better
145,time
146,i’ve
147,ever
148,known
149,ooooh
150,la
151,love
152,i’ve
153,fallen
154,love
155,it’s
156,better
157,time
158,ever
159,ooooh
160,la
161,love
162,i’ve
163,fallen
164,love
165,it’s
166,better
167,time
168,i’ve
169,ever
170,known
171,outro
172,fallen
173,love
174,fallen
175,love
