,Cupid De Locke_The Smashing Pumpkins
0,cupid
1,hath
2,pulled
3,back
4,his
5,sweetheart's
6,bow
7,cast
8,divine
9,arrows
10,her
11,soul
12,grab
13,her
14,attention
15,swift
16,quick
17,morrow
18,marrow
19,her
20,bones
21,thick
22,turpentine
23,kisses
24,mistaken
25,blows
26,see
27,devil
28,may
29,devil
30,may
31,care
32,he
33,loves
34,none
35,sweeter
36,sweeter
37,dare
38,her
39,mouth
40,mischief
41,he
42,doth
43,seek
44,her
45,heart
46,captive
47,he
48,speaks
49,note
50,ye
51,lovers
52,love
53,sound
54,your
55,world
56,shattered
57,nary
58,note
59,one
60,cupid's
61,arrow
62,your
63,coat
64,land
65,star
66,crossed
67,lovers
68,barren
69,hearted
70,wanderers
71,forever
72,lost
73,forsaken
74,missives
75,satan's
76,pull
77,seek
78,unseekable
79,speak
80,unspeakable
81,hopes
82,dead
83,gathering
84,dust
85,dust
86,faith
87,compassion
88,love
