,Dirty Dream Number Two_Belle and Sebastian
0,i’m
1,lucky
2,i
3,open
4,door
5,i
6,walk
7,street
8,unlucky
9,i’ve
10,got
11,nowhere
12,go
13,i
14,follow
15,my
16,feet
17,choice
18,facing
19,you
20,healthy
21,dose
22,pain
23,choice
24,facing
25,you
26,you
27,stare
28,rain
29,choice
30,facing
31,you
32,i
33,choose
34,refrain
35,today
36,tomorrow
37,we’ll
38,back
39,trouble
40,dream
41,one
42,you
43,whole
44,lot
45,fun
46,comedian
47,stop
48,short
49,going
50,way
51,you’ll
52,make
53,someday
54,happening
55,you
56,you’re
57,child
58,happening
59,you’ve
60,much
61,your
62,mind
63,things
64,creep
65,you
66,you
67,fast
68,asleep
69,you
70,dreaming
71,you
72,sleepy
73,you
74,stuck
75,sheets
76,town
77,small
78,there’s
79,escaping
80,you
81,town
82,small
83,there’s
84,escape
85,view
86,town
87,small
88,there’s
89,nothing
90,left
91,dream
92,two
93,you
94,couldn’t
95,see
96,her
97,face
98,you
99,saw
100,everything
101,else
102,dream
103,two
104,pretty
105,special
106,easily
107,beats
108,loving
109,yourself
110,could
111,you
112,put
113,name
114,someone
115,else's
116,sigh
117,could
118,you
119,put
120,face
121,someone
122,else's
123,eyes
124,someone
125,you’d
126,maybe
127,recognize
128,fades
129,morning
130,you
131,open
132,your
133,eyes
