,Love of My Life_Queen
0,love
1,my
2,life
3,you've
4,hurt
5,me
6,you've
7,broken
8,my
9,heart
10,you
11,leave
12,me
13,prechorus
14,love
15,my
16,life
17,can't
18,you
19,see
20,bring
21,back
22,bring
23,back
24,take
25,away
26,me
27,you
28,know
29,means
30,me
31,love
32,my
33,life
34,leave
35,me
36,you've
37,taken
38,my
39,love
40,desert
41,me
42,prechorus
43,love
44,my
45,life
46,can't
47,you
48,see
49,bring
50,back
51,bring
52,back
53,take
54,away
55,me
56,you
57,know
58,means
59,me
60,you
61,remember
62,blown
63,everything's
64,way
65,i
66,grow
67,older
68,i
69,your
70,side
71,remind
72,you
73,i
74,still
75,love
76,you
77,i
78,still
79,love
80,you
81,instrumental
82,break
83,back
84,hurry
85,back
86,please
87,bring
88,back
89,home
90,me
91,you
92,know
93,means
94,me
95,love
96,my
97,life
98,love
99,my
100,life
101,ooh
102,ooh
