,Your Love Is King_Sade
0,your
1,love
2,king
3,crown
4,you
5,my
6,heart
7,your
8,love
9,king
10,never
11,need
12,part
13,your
14,kisses
15,ring
16,round
17,round
18,round
19,my
20,head
21,touching
22,part
23,me
24,making
25,my
26,soul
27,sing
28,tearing
29,heart
30,me
31,i'm
32,crying
33,your
34,love
35,king
36,crown
37,you
38,my
39,heart
40,your
41,love
42,king
43,you're
44,ruler
45,my
46,heart
47,your
48,kisses
49,ring
50,round
51,round
52,round
53,my
54,head
55,touching
56,part
57,me
58,making
59,my
60,soul
61,sing
62,i'm
63,crying
64,your
65,love
66,king
67,i'm
68,coming
69,i'm
70,coming
71,you're
72,making
73,me
74,dance
75,inside
76,your
77,love
78,king
79,crown
80,you
81,my
82,heart
83,your
84,love
85,king
86,never
87,need
88,part
89,your
90,kisses
91,ring
92,round
93,round
94,round
95,my
96,head
97,touching
98,part
99,me
100,making
101,my
102,soul
103,sing
104,tearing
105,heart
106,me
107,i'm
108,crying
109,touching
110,part
111,me
112,making
113,my
114,soul
115,sing
116,i'm
117,crying
118,your
119,love
120,king
121,blind
122,faith
123,sad
124,sorry
125,dream
126,blind
127,faith
128,your
129,love
130,your
131,love
132,real
133,gotta
134,crown
135,me
136,your
137,heart
138,your
139,love
140,king
141,never
142,never
143,need
144,part
145,your
146,love
147,king
148,touch
149,me
150,your
151,love
152,king
153,never
154,letting
155,go
156,your
157,love
158,king
159,your
160,love
161,king
162,never
163,letting
164,go
165,your
166,love
167,your
168,love
169,king
170,never
171,gonna
172,give
173,your
174,love
175,king
176,i'm
177,coming
178,your
179,love
180,king
181,making
182,me
183,dance
