,Information Travels Faster_Death Cab for Cutie
0,i
1,intentionally
2,wrote
3,illegible
4,mess
5,you
6,wanted
7,me
8,write
9,you
10,letters
11,i'd
12,rather
13,lose
14,your
15,address
16,forget
17,we'd
18,ever
19,met
20,occur
21,sitting
22,station
23,blur
24,dancehall
25,hips
26,pretentious
27,quips
28,boxer's
29,bob
30,weave
31,here's
32,kicker
33,whole
34,shebang
35,you're
36,debt
37,completely
38,fooled
39,you
40,look
41,mirror
42,objectively
43,rank
44,your
45,wounds
46,sewing
47,circles
48,solely
49,based
50,trades
51,cloth
52,there's
53,spinsters
54,around
55,taking
56,notes
57,reporting
58,us
59,x2
60,information
61,travels
62,faster
63,modern
64,age
65,modern
66,age
67,days
68,crawling
69,slowly
70,information
71,travels
72,faster
73,modern
74,age
75,modern
76,age
77,days
78,crawling
79,slowly
