,"After the Love Has Gone_Earth, Wind & Fire"
0,awhile
1,love
2,could
3,young
4,knew
5,eyes
6,alive
7,deep
8,inside
9,knew
10,love
11,true
12,awhile
13,paid
14,mind
15,past
16,knew
17,love
18,would
19,last
20,every
21,night
22,something
23,right
24,would
25,invite
26,us
27,begin
28,day
29,prechorus
30,something
31,happened
32,along
33,way
34,used
35,happy
36,sad
37,something
38,happened
39,along
40,way
41,yesterday
42,oh
43,love
44,gone
45,could
46,you
47,lead
48,me
49,let
50,me
51,stay
52,around
53,oh
54,oh
55,oh
56,love
57,gone
58,used
59,right
60,wrong
61,love
62,that's
63,lost
64,found
65,awhile
66,love
67,would
68,ever
69,need
70,love
71,strong
72,long
73,never
74,knew
75,wrong
76,oh
77,baby
78,right
79,tried
80,find
81,'til
82,sadness
83,shared
84,scared
85,affair
86,would
87,lead
88,love
89,prechorus
90,something
91,happened
92,along
93,way
94,yesterday
95,something
96,happened
97,along
98,way
99,used
100,happy
101,sad
102,something
103,happened
104,along
105,way
106,oh
107,yesterday
108,oh
109,love
110,gone
111,could
112,you
113,lead
114,me
115,let
116,me
117,stay
118,around
119,oh
120,oh
121,oh
122,love
123,gone
124,used
125,right
126,wrong
127,love
128,that's
129,lost
130,found
131,oh
132,oh
133,oh
134,oh
135,oh
136,oh
137,love
138,gone
139,used
140,right
141,wrong
142,love
143,that's
144,lost
145,found
146,oh
147,oh
148,oh
149,love
150,gone
151,used
152,right
153,wrong
154,love
155,that's
156,lost
157,found
158,oh
159,oh
160,oh
161,love
162,gone
163,used
164,right
165,wrong
166,love
167,that's
168,lost
169,found
170,oh
171,oh
172,oh
173,oh
174,oh
175,oh
176,love
177,gone
178,used
179,right
180,wrong
181,love
182,that's
183,lost
184,found
