,"New Person, Same Old Mistakes_Tame Impala"
0,hear
1,"""how"
2,could
3,let
4,us
5,"down"""
6,know
7,found
8,see
9,way
10,'round
11,feeling
12,overtake
13,used
14,hate
15,one
16,one
17,every
18,trait
19,tried
20,way
21,late
22,signs
23,read
24,two
25,sides
26,can't
27,agree
28,deep
29,going
30,always
31,longed
32,feel
33,like
34,brand
35,new
36,person
37,make
38,old
39,mistakes
40,care
41,i'm
42,love
43,stop
44,late
45,know
46,feel
47,like
48,brand
49,new
50,person
51,make
52,old
53,mistakes
54,finally
55,know
56,like
57,takes
58,stop
59,late
60,know
61,there's
62,much
63,stake
64,making
65,mistakes
66,still
67,know
68,happening
69,stop
70,late
71,still
72,know
73,finally
74,taking
75,flight
76,know
77,think
78,right
79,know
80,think
81,fake
82,maybe
83,fake's
84,like
85,point
86,right
87,thinking
88,black
89,white
90,i'm
91,thinking
92,worth
93,fight
94,soon
95,sight
96,knowing
97,time
98,going
99,always
100,longed
101,feel
102,like
103,brand
104,new
105,person
106,make
107,old
108,mistakes
109,care
110,i'm
111,love
112,stop
113,late
114,know
115,feel
116,like
117,brand
118,new
119,person
120,make
121,old
122,mistakes
123,finally
124,know
125,like
126,takes
127,stop
128,late
129,bridge
130,man
131,know
132,hard
133,digest
134,maybe
135,story
136,ain't
137,different
138,rest
139,know
140,seems
141,wrong
142,accept
143,got
144,demons
145,got
146,regrets
147,know
148,hard
149,digest
150,realization
151,good
152,guess
153,know
154,seems
155,wrong
156,accept
157,got
158,demons
159,got
160,regrets
161,got
162,demons
163,got
164,regrets
165,outro
166,feel
167,like
168,brand
169,new
170,person
171,know
172,right
173,new
174,direction
175,know
176,i've
177,gone
178,far
179,stop
180,thinking
181,option
182,feel
183,like
184,brand
185,new
186,person
187,finally
188,know
189,like
190,stop
191,thinking
192,option
193,new
194,direction
195,know
196,i've
197,gone
198,far
199,stop
200,thinking
201,option
202,know
203,hard
204,describe
205,stop
206,thinking
207,option
208,know
209,right
