,Shadowboxer_Fiona Apple
0,my
1,lover
2,my
3,friend
4,cruel
5,thing
6,pretend
7,cunning
8,way
9,condescend
10,my
11,lover
12,my
13,friend
14,oh
15,you
16,creep
17,like
18,clouds
19,you
20,set
21,my
22,soul
23,ease
24,you
25,let
26,your
27,love
28,abound
29,you
30,bring
31,me
32,my
33,knees
34,prechorus
35,oh
36,evil
37,babe
38,way
39,you
40,let
41,your
42,grace
43,enrapture
44,me
45,well
46,you
47,know
48,i'd
49,insane
50,ever
51,let
52,dirty
53,game
54,recapture
55,me
56,you
57,made
58,me
59,shadowboxer
60,baby
61,i
62,wanna
63,ready
64,you
65,i've
66,swinging
67,around
68,me
69,cause
70,i
71,know
72,you're
73,gonna
74,make
75,your
76,move
77,instrumental
78,break
79,oh
80,your
81,gaze
82,dangerous
83,you
84,fill
85,your
86,space
87,sweet
88,i
89,let
90,you
91,get
92,close
93,you'll
94,set
95,your
96,spell
97,me
98,darlin'
99,i
100,wanna
101,say
102,case
103,i
104,come
105,i
106,onto
107,every
108,play
109,i
110,wanted
111,you
112,prechorus
113,oh
114,evil
115,my
116,love
117,way
118,you've
119,reverence
120,my
121,concern
122,i'll
123,sure
124,stay
125,wary
126,you
127,love
128,save
129,pain
130,my
131,flame
132,twice
133,my
134,burn
135,i'm
136,shadowboxer
137,baby
138,i
139,wanna
140,ready
141,you
142,i've
143,swinging
144,around
145,nothing
146,i
147,know
148,you're
149,gonna
150,make
151,your
152,move
153,yeah
154,i'm
155,shadowboxer
156,baby
157,i
158,wanna
159,ready
160,you
161,i
162,swinging
163,around
164,me
165,cause
166,i
167,know
168,you'll
169,make
170,your
171,move
