,You & I_One Direction
0,niall
1,&
2,liam
3,figured
4,figured
5,black
6,white
7,seconds
8,hours
9,maybe
10,take
11,time
12,know
13,goes
14,know
15,goes
16,wrong
17,right
18,silence
19,sound
20,ever
21,hold
22,tight
23,like
24,us
25,ever
26,fight
27,like
28,us
29,harry
30,wanna
31,like
32,make
33,'til
34,end
35,nothing
36,come
37,even
38,gods
39,separate
40,two
41,us
42,nothing
43,come
44,oh
45,zayn
46,niall
47,liam
48,&
49,louis
50,niall
51,liam
52,figured
53,saw
54,mistakes
55,meet
56,middle
57,there's
58,always
59,room
60,common
61,ground
62,see
63,like
64,see
65,like
66,day
67,night
68,never
69,together
70,'cause
71,see
72,things
73,different
74,light
75,like
76,us
77,never
78,tried
79,like
80,us
81,harry
82,&
83,zayn
84,wanna
85,like
86,make
87,'til
88,end
89,nothing
90,come
91,even
92,gods
93,separate
94,two
95,us
96,two
97,us
98,two
99,us
100,two
101,us
102,two
103,us
104,'cause
105,wanna
106,like
107,make
108,'til
109,end
110,end
111,nothing
112,come
113,nothing
114,come
115,even
116,gods
117,separate
118,two
119,us
120,two
121,us
122,nothing
123,come
124,oh
125,oh
126,could
127,make
128,try
129,oh
