,Kill V. Maim_Grimes
0,i
1,got
2,fight
3,i
4,indisposed
5,i
6,despite
7,wicked
8,prose
9,i'm
10,man
11,i
12,i
13,i
14,got
15,friends
16,high
17,places
18,i
19,get
20,free
21,i
22,got
23,fight
24,know
25,me
26,'cause
27,i'm
28,man
29,i
30,i
31,prechorus
32,behave
33,arrest
34,us
35,italiana
36,mobster
37,looking
38,precious
39,behave
40,never
41,you
42,gave
43,good
44,you
45,declared
46,state
47,war
48,eh
49,i
50,behave
51,i
52,behave
53,oh
54,eh
55,i
56,behave
57,i
58,behave
59,oh
60,eh
61,i
62,behave
63,i
64,behave
65,oh
66,you
67,going
68,party
69,you
70,going
71,show
72,'cause
73,i'm
74,man
75,i
76,oh
77,'cause
78,i'm
79,man
80,i
81,you
82,going
83,party
84,you
85,going
86,show
87,i
88,something
89,bad
90,maybe
91,i
92,wrong
93,sometimes
94,people
95,say
96,i'm
97,big
98,time
99,bomb
100,i'm
101,man
102,i
103,i
104,prechorus
105,behave
106,arrest
107,us
108,italiana
109,mobster
110,looking
111,precious
112,behave
113,never
114,you
115,gave
116,good
117,you
118,declared
119,state
120,war
121,eh
122,i
123,behave
124,i
125,behave
126,oh
127,eh
128,i
129,behave
130,i
131,behave
132,oh
133,eh
134,i
135,behave
136,i
137,behave
138,oh
139,you
140,going
141,party
142,you
143,going
144,show
145,'cause
146,i'm
147,man
148,i
149,oh
150,'cause
151,i'm
152,man
153,i
154,you
155,going
156,party
157,you
158,going
159,show
160,oh
161,fire
162,right
163,'cause
164,make
165,'em
166,go
167,crazy
168,make
169,'em
170,wanna
171,die
172,oh
173,fire
174,right
175,people
176,touch
177,i
178,can't
179,touch
180,even
181,though
182,mine
183,eh
184,i
185,behave
186,i
187,behave
188,oh
189,eh
190,i
191,behave
192,i
193,behave
194,oh
195,eh
196,i
197,behave
198,i
199,behave
200,oh
201,you
202,going
203,party
204,you
205,going
206,show
207,'cause
208,i'm
209,man
210,i
211,oh
212,'cause
213,i'm
214,man
215,i
216,behave
217,arrest
218,us
219,italiana
220,mobster
221,looking
222,precious
223,behave
224,never
225,you
226,gave
227,good
228,you
229,declared
230,state
231,war
