,Love Is Strong_The Rolling Stones
0,your
1,love
2,strong
3,you're
4,sweet
5,you
6,make
7,me
8,hard
9,you
10,make
11,me
12,weak
13,love
14,strong
15,you're
16,sweet
17,day
18,babe
19,got
20,meet
21,glimpse
22,you
23,took
24,stranger's
25,glance
26,got
27,me
28,hooked
29,i'll
30,follow
31,you
32,across
33,stars
34,i'll
35,look
36,you
37,seedy
38,bars
39,you
40,scared
41,baby
42,dream
43,i
44,need
45,time
46,make
47,beautiful
48,team
49,beautiful
50,team
51,we're
52,strong
53,you're
54,sweet
55,you're
56,sweet
57,day
58,babe
59,got
60,meet
61,got
62,meet
63,anywhere
64,park
65,street
66,dark
67,i'll
68,follow
69,you
70,swirling
71,seas
72,darkened
73,woods
74,silent
75,trees
76,your
77,love
78,strong
79,you’re
80,sweet
81,you're
82,sweet
83,you
84,make
85,me
86,hard
87,you
88,make
89,me
90,weak
91,you
92,scared
93,baby
94,dream
95,i
96,need
97,time
98,make
99,beautiful
100,team
101,beautiful
102,i'll
103,wait
104,you
105,dawn
106,my
107,mind
108,ripped
109,my
110,heart
111,torn
112,your
113,love
114,strong
115,you're
116,sweet
117,your
118,love
119,bitter
120,taken
121,neat
122,your
123,love
124,strong
125,yeah
126,you're
127,sweet
128,got
129,meet
130,your
131,love
132,strong
133,yeah
134,you're
135,sweet
136,you're
137,sweet
138,yeah
139,your
140,love
141,strong
142,yeah
143,you're
144,sweet
145,got
146,meet
147,come
148,baby
149,come
150,baby
151,you're
152,sweet
153,you're
154,sweet
155,got
156,meet
157,whoa
158,yeah
