,Look After You_The Fray
0,i
1,say
2,i
3,surely
4,break
5,i'm
6,leaving
7,one
8,i
9,wanna
10,take
11,forgive
12,urgency
13,hurry
14,wait
15,my
16,heart
17,started
18,separate
19,oh
20,oh
21,oh
22,oh
23,my
24,baby
25,oh
26,oh
27,oh
28,oh
29,oh
30,oh
31,oh
32,my
33,baby
34,i'll
35,look
36,you
37,steady
38,love
39,come
40,go
41,you
42,you
43,one
44,i'll
45,always
46,know
47,i'm
48,losing
49,my
50,control
51,city
52,spins
53,around
54,you're
55,one
56,knows
57,you
58,slow
59,oh
60,oh
61,oh
62,oh
63,my
64,baby
65,oh
66,oh
67,oh
68,oh
69,oh
70,oh
71,oh
72,my
73,baby
74,i'll
75,look
76,you
77,i'll
78,look
79,you
80,ever
81,doubt
82,my
83,love
84,she
85,leans
86,me
87,assuredly
88,counts
89,she
90,says
91,assuredly
92,oh
93,oh
94,oh
95,oh
96,my
97,baby
98,i'll
99,look
100,you
101,you
102,oh
103,oh
104,oh
105,oh
106,my
107,baby
108,oh
109,oh
110,oh
111,always
112,never
113,hold
114,you've
115,begun
116,feel
117,like
118,home
119,what's
120,mine
121,yours
122,leave
123,take
124,what's
125,mine
126,yours
127,make
128,your
129,oh
130,oh
131,oh
132,oh
133,my
134,baby
135,oh
136,oh
137,oh
138,oh
139,oh
140,oh
141,oh
142,my
143,baby
144,oh
145,oh
146,oh
147,oh
148,oh
149,oh
150,oh
151,my
152,baby
153,oh
154,oh
155,oh
156,oh
157,oh
158,oh
159,oh
160,my
161,baby
162,oh
163,oh
164,oh
