,City Love_John Mayer
0,never
1,liked
2,apple
3,much
4,always
5,seemed
6,big
7,touch
8,can't
9,remember
10,found
11,way
12,came
13,around
14,tell
15,everyone
16,smile
17,i've
18,got
19,city
20,love
21,found
22,lydia
23,can't
24,remember
25,life
26,name
27,keeps
28,toothbrush
29,place
30,extra
31,space
32,steals
33,clothes
34,wear
35,work
36,know
37,hairs
38,shirts
39,tell
40,everyone
41,smile
42,i've
43,got
44,city
45,love
46,found
47,lydia
48,can't
49,remember
50,life
51,name
52,day
53,called
54,came
55,covered
56,rain
57,dinnertime
58,shadowing
59,clothes
60,spun
61,spooned
62,knew
63,said
64,"""i"
65,love
66,"you"""
67,friday
68,evening
69,we've
70,drinking
71,swear
72,might
73,propose
74,close
75,tab
76,split
77,cab
78,call
79,get
80,home
81,falling
82,asleep
83,sound
84,sirens
85,tell
86,everyone
87,smile
88,i've
89,got
90,city
91,love
92,found
93,lydia
94,can't
95,remember
96,life
97,name
98,bridge
99,battery
100,gallery
101,kind
102,thing
103,see
104,scented
105,glossy
106,magazines
107,outro
108,can't
109,remember
110,life
111,name
