,Come to Me_Björk
0,come
1,me
2,i'll
3,take
4,care
5,you
6,protect
7,you
8,calm
9,calm
10,you're
11,exhausted
12,come
13,lie
14,you
15,explain
16,i
17,understand
18,you
19,know
20,i
21,adore
22,you
23,you
24,know
25,i
26,love
27,you
28,make
29,me
30,say
31,would
32,burst
33,bubble
34,break
35,charm
36,jump
37,your
38,building's
39,fire
40,i'll
41,catch
42,you
43,i'll
44,catch
45,you
46,destroy
47,keeping
48,you
49,i'll
50,nurse
51,you
52,i'll
53,nurse
54,you
55,i'll
56,protect
57,you
58,you
59,know
60,i
61,adore
62,you
63,you
64,know
65,i
66,love
67,you
68,make
69,me
70,say
71,would
72,burst
73,bubble
74,break
75,charm
