,Love Story_Taylor Swift
0,young
1,first
2,saw
3,close
4,eyes
5,flashback
6,starts
7,i'm
8,standing
9,balcony
10,summer
11,air
12,see
13,lights
14,see
15,party
16,ball
17,gowns
18,see
19,make
20,way
21,crowd
22,say
23,"""hello"""
24,little
25,know
26,pre-chorus
27,romeo
28,throwing
29,pebbles
30,daddy
31,said
32,"""stay"
33,away
34,"juliet"""
35,crying
36,staircase
37,begging
38,"""please"
39,"go"""
40,said
41,romeo
42,take
43,somewhere
44,alone
45,i'll
46,waiting
47,there's
48,left
49,run
50,prince
51,i'll
52,princess
53,love
54,story
55,baby
56,say
57,"""yes"""
58,sneak
59,garden
60,see
61,keep
62,quiet
63,'cause
64,we're
65,dead
66,knew
67,close
68,eyes
69,escape
70,town
71,little
72,pre-chorus
73,'cause
74,romeo
75,scarlet
76,letter
77,daddy
78,said
79,"""stay"
80,away
81,"juliet"""
82,everything
83,begging
84,please
85,go
86,said
87,romeo
88,take
89,somewhere
90,alone
91,i'll
92,waiting
93,there's
94,left
95,run
96,prince
97,i'll
98,princess
99,love
100,story
101,baby
102,say
103,"""yes"""
104,romeo
105,save
106,they're
107,trying
108,tell
109,feel
110,love
111,difficult
112,real
113,afraid
114,we'll
115,make
116,mess
117,love
118,story
119,baby
120,say
121,"""yes"""
122,oh
123,oh
124,bridge
125,got
126,tired
127,waiting
128,wondering
129,ever
130,coming
131,around
132,faith
133,fading
134,met
135,outskirts
136,town
137,said
138,romeo
139,save
140,i've
141,feeling
142,alone
143,keep
144,waiting
145,never
146,come
147,head
148,know
149,think
150,knelt
151,ground
152,pulled
153,ring
154,said
155,"""marry"
156,juliet
157,never
158,alone
159,love
160,that's
161,really
162,know
163,talked
164,dad
165,go
166,pick
167,white
168,dress
169,love
170,story
171,baby
172,say
173,"'yes'"""
174,outro
175,oh
176,oh
177,oh
178,oh
179,'cause
180,young
181,first
182,saw
