,Slow It Down_The Lumineers
0,i
1,feel
2,her
3,filth
4,my
5,bones
6,wash
7,my
8,hands
9,til
10,gone
11,walls
12,they're
13,closing
14,velvet
15,curtains
16,love
17,made
18,lights
19,kiss
20,your
21,cheek
22,goodnight
23,lift
24,red
25,high
26,heel
27,lock
28,your
29,doors
30,steel
31,they're
32,makin'
33,noise
34,my
35,street
36,my
37,blinds
38,drawn
39,i
40,can't
41,see
42,smashed
43,my
44,car
45,window
46,touch
47,stereo
48,slow
49,angie
50,come
51,back
52,bed
53,rest
54,your
55,arms
56,rest
57,your
58,legs
59,act
60,like
61,you've
62,smile
63,less
64,dress
65,tie
66,your
67,scarf
68,real
69,tight
70,boys
71,blood
72,tonight
73,slow
74,angie
75,come
76,back
77,bed
78,rest
79,your
80,arms
81,rest
82,your
83,legs
84,she
85,stood
86,she
87,stood
88,tall
89,she'll
90,make
91,fool
92,you
93,ask
94,cigarettes
95,she
96,ain't
97,got
98,nothing
99,left
100,you
101,i
102,never
103,she
104,never
105,never
106,looked
107,back
108,good
109,came
110,love
111,good
112,enough
113,slow
114,angie
115,come
116,back
117,bed
118,rest
119,your
120,arms
121,rest
122,your
123,legs
124,you
125,frown
126,you're
127,feelin
128,like
129,love
130,dig
131,you
