,Beautiful_The Smashing Pumpkins
0,beautiful
1,you're
2,beautiful
3,beautiful
4,sun
5,wonderful
6,you're
7,wonderful
8,wonderful
9,come
10,i
11,can't
12,help
13,feel
14,attached
15,feelings
16,i
17,can't
18,even
19,match
20,my
21,face
22,pressed
23,glass
24,wanting
25,you
26,beautiful
27,you're
28,beautiful
29,beautiful
30,sky
31,wonderful
32,wonderful
33,know
34,you're
35,like
36,i
37,i'm
38,sure
39,you
40,know
41,me
42,well
43,i'm
44,sure
45,you
46,you
47,can't
48,tell
49,you
50,love
51,you
52,you
53,love
54,you
55,i
56,love
57,you
58,you
59,love
60,me
61,na
62,na
63,na
64,na
65,na
66,na
67,na
68,na
69,let
70,clouds
71,roll
72,your
73,face
74,we'll
75,let
76,world
77,spin
78,another
79,place
80,we'll
81,climb
82,tallest
83,tree
84,look
85,you
86,me
87,i'm
88,sure
89,you
90,know
91,me
92,well
93,i'm
94,sure
95,you
96,you
97,can't
98,tell
99,you
100,love
101,you
102,you
103,love
104,you
105,you
106,love
107,you
108,smashing
109,pumpkins
110,let
111,your
112,life
113,wrap
114,around
115,you
116,forget
117,call
118,whenever
119,i'll
120,waiting
121,you
122,i'll
123,your
124,stars
125,forever
126,neither
127,right
128,beside
129,you
130,i'll
131,stairs
132,forever
133,neither
134,right
135,beside
136,you
