,In Love with a Girl_Gavin DeGraw
0,many
1,people
2,gonna
3,say
4,want
5,you
6,try
7,get
8,you
9,thinking
10,really
11,care
12,there's
13,nothing
14,like
15,warmth
16,one
17,put
18,time
19,you
20,know
21,gonna
22,back
23,your
24,border
25,she
26,knows
27,someone
28,crossed
29,let
30,nobody
31,put
32,you
33,you're
34,take
35,pain
36,protecting
37,your
38,name
39,crutch
40,cane
41,highwire
42,i'm
43,love
44,girl
45,knows
46,me
47,better
48,fell
49,woman
50,i
51,met
52,her
53,took
54,my
55,sweet
56,time
57,i
58,bitter
59,someone
60,understands
61,she
62,knows
63,treat
64,fella
65,right
66,give
67,me
68,feeling
69,every
70,night
71,wants
72,make
73,love
74,i
75,wanna
76,fight
77,someone
78,understand
79,me
80,i'm
81,love
82,girl
83,i'm
84,love
85,i'm
86,love
87,girl
88,i'm
89,love
90,many
91,broken
92,backdoors
93,windows
94,valley
95,love
96,lost
97,hole
98,cut
99,soul
100,falling
101,thrones
102,without
103,innuendos
104,you
105,found
106,piece
107,moment
108,moment
109,time
110,gone
111,hit
112,run
113,drifters
114,one
115,short
116,life
117,i'm
118,love
119,girl
120,knows
121,me
122,better
123,fell
124,woman
125,i
126,met
127,her
128,took
129,my
130,sweet
131,time
132,i
133,bitter
134,someone
135,understands
136,she
137,knows
138,treat
139,fella
140,right
141,give
142,me
143,feeling
144,every
145,night
146,wants
147,make
148,love
149,i
150,wanna
151,fight
152,someone
153,understand
154,me
155,i'm
156,love
157,girl
158,i'm
159,love
160,i'm
161,love
162,girl
163,i'm
164,love
165,i
166,wanna
167,tell
168,you
169,you
170,think
171,you
172,practice
173,you
174,preach
175,i
176,know
177,there's
178,nothing
179,can't
180,reach
181,'cause
182,heart
183,can't
184,erase
185,finds
186,place
187,warm
188,welcome
189,held
190,shelter
191,i'm
192,love
193,girl
194,knows
195,me
196,better
197,fell
198,woman
199,i
200,met
201,her
202,took
203,my
204,sweet
205,time
206,i
207,bitter
208,someone
209,understands
210,she
211,knows
212,treat
213,fella
214,right
215,give
216,me
217,feeling
218,every
219,night
220,wants
221,make
222,love
223,i
224,wanna
225,fight
226,someone
227,understand
228,me
229,i'm
230,love
231,girl
232,i'm
233,love
234,i'm
235,love
236,girl
237,i'm
238,love
239,i'm
240,love
241,girl
242,i'm
243,love
244,knows
245,me
246,better
247,wants
248,make
249,love
250,i
251,wanna
252,fight
253,someone
254,understand
255,me
