,At My Most Beautiful_R.E.M.
0,i've
1,found
2,way
3,make
4,you
5,i've
6,found
7,way
8,way
9,make
10,you
11,smile
12,i
13,read
14,bad
15,poetry
16,your
17,machine
18,i
19,save
20,your
21,messages
22,hear
23,your
24,voice
25,you
26,always
27,listen
28,carefully
29,awkward
30,rhymes
31,you
32,always
33,say
34,your
35,name
36,like
37,i
38,know
39,you
40,your
41,beautiful
42,i've
43,found
44,way
45,make
46,you
47,i've
48,found
49,way
50,way
51,make
52,you
53,smile
54,my
55,beautiful
56,i
57,count
58,your
59,eyelashes
60,secretly
61,every
62,one
63,whisper
64,i
65,love
66,you
67,i
68,let
69,you
70,sleep
71,i
72,know
73,your
74,closed
75,eye
76,watching
77,me
78,listening
79,i
80,thought
81,i
82,saw
83,smile
84,i've
85,found
86,way
87,make
88,you
89,i've
90,found
91,way
92,way
93,make
94,you
95,smile
