,Cannonball_Damien Rice
0,still
1,little
2,bit
3,your
4,taste
5,my
6,mouth
7,still
8,little
9,bit
10,you
11,laced
12,my
13,doubt
14,still
15,little
16,hard
17,see
18,what's
19,going
20,still
21,little
22,bit
23,your
24,ghost
25,your
26,witness
27,still
28,little
29,bit
30,your
31,face
32,i
33,kissed
34,prechorus
35,you
36,step
37,little
38,closer
39,day
40,i
41,can't
42,say
43,what's
44,going
45,stones
46,taught
47,me
48,fly
49,love
50,taught
51,me
52,lie
53,life
54,taught
55,me
56,die
57,hard
58,fall
59,you
60,float
61,like
62,cannonball
63,still
64,little
65,bit
66,your
67,song
68,my
69,ear
70,still
71,little
72,bit
73,your
74,words
75,i
76,long
77,hear
78,you
79,step
80,little
81,closer
82,me
83,close
84,i
85,can't
86,see
87,what's
88,going
89,stones
90,taught
91,me
92,fly
93,love
94,taught
95,me
96,lie
97,life
98,taught
99,me
100,die
101,hard
102,fall
103,you
104,float
105,like
106,cannon
107,stones
108,taught
109,me
110,fly
111,love
112,taught
113,me
114,cry
115,come
116,courage
117,teach
118,me
119,shy
120,'cause
121,hard
122,fall
123,i
124,wanna
125,scare
126,her
127,hard
128,fall
129,i
130,wanna
131,lose
132,hard
133,grow
134,you
135,know
136,you
137,know
