,Faithfully_Journey
0,highway
1,run
2,midnight
3,sun
4,wheels
5,go
6,round
7,round
8,you're
9,my
10,mind
11,restless
12,hearts
13,sleep
14,alone
15,tonight
16,sending
17,my
18,love
19,along
20,wire
21,say
22,road
23,ain't
24,place
25,start
26,family
27,right
28,line
29,you
30,me
31,lovin'
32,music
33,man
34,ain't
35,always
36,supposed
37,oh
38,girl
39,you
40,stand
41,me
42,i'm
43,forever
44,yours
45,faithfully
46,trumpet
47,guitar
48,solo
49,circus
50,life
51,big
52,top
53,world
54,need
55,clowns
56,make
57,us
58,smile
59,space
60,time
61,always
62,another
63,show
64,wondering
65,i
66,lost
67,without
68,you
69,apart
70,ain't
71,easy
72,love
73,affair
74,two
75,strangers
76,learn
77,fall
78,love
79,i
80,get
81,joy
82,rediscovering
83,you
84,oh
85,girl
86,you
87,stand
88,me
89,i'm
90,forever
91,yours
92,faithfully
93,whoa
94,ohohooh
95,whoa
96,ohohooh
97,oh
98,whoa
99,ohohoh
100,ohwhoooooaoh
101,faithfully
102,i'm
103,still
104,yours
105,i'm
106,forever
107,yours
108,ever
109,yours
110,faithfully
