,Everything Has Changed_Taylor Swift
0,ed
1,sheeran
2,you
3,good
4,go
5,taylor
6,swift
7,i
8,knew
9,morning
10,i
11,woke
12,i
13,know
14,something
15,know
16,something
17,i
18,i've
19,seen
20,since
21,hours
22,ago
23,green
24,eyes
25,freckles
26,your
27,smile
28,back
29,my
30,mind
31,making
32,me
33,feel
34,like
35,prechorus
36,taylor
37,swift
38,ed
39,sheeran
40,i
41,wanna
42,know
43,you
44,better
45,know
46,you
47,better
48,know
49,you
50,better
51,i
52,wanna
53,know
54,you
55,better
56,know
57,you
58,better
59,know
60,you
61,better
62,i
63,wanna
64,know
65,you
66,better
67,know
68,you
69,better
70,know
71,you
72,better
73,i
74,wanna
75,know
76,you
77,know
78,you
79,know
80,you
81,taylor
82,swift
83,ed
84,sheeran
85,'cause
86,i
87,know
88,said
89,hello
90,your
91,eyes
92,look
93,like
94,coming
95,home
96,i
97,know
98,simple
99,name
100,everything
101,changed
102,i
103,know
104,you
105,held
106,door
107,you'll
108,mine
109,i'll
110,yours
111,i
112,know
113,since
114,yesterday
115,everything
116,changed
117,ed
118,sheeran
119,taylor
120,swift
121,my
122,walls
123,stood
124,tall
125,painted
126,blue
127,i'll
128,take
129,'em
130,take
131,'em
132,open
133,door
134,you
135,i
136,feel
137,my
138,stomach
139,butterflies
140,beautiful
141,kind
142,making
143,lost
144,time
145,taking
146,flight
147,making
148,me
149,feel
150,right
151,prechorus
152,taylor
153,swift
154,ed
155,sheeran
156,i
157,wanna
158,know
159,you
160,better
161,know
162,you
163,better
164,know
165,you
166,better
167,i
168,wanna
169,know
170,you
171,better
172,know
173,you
174,better
175,know
176,you
177,better
178,i
179,wanna
180,know
181,you
182,better
183,know
184,you
185,better
186,know
187,you
188,better
189,i
190,wanna
191,know
192,you
193,know
194,you
195,know
196,you
197,taylor
198,swift
199,ed
200,sheeran
201,'cause
202,i
203,know
204,said
205,hello
206,your
207,eyes
208,look
209,like
210,coming
211,home
212,i
213,know
214,simple
215,name
216,everything
217,changed
218,i
219,know
220,you
221,held
222,door
223,you'll
224,mine
225,i'll
226,yours
227,i
228,know
229,since
230,yesterday
231,everything
232,changed
233,taylor
234,swift
235,ed
236,sheeran
237,come
238,back
239,tell
240,me
241,i'm
242,feeling
243,like
244,i've
245,missed
246,you
247,time
248,meet
249,me
250,tonight
251,let
252,me
253,know
254,my
255,mind
256,prechorus
257,taylor
258,swift
259,i
260,wanna
261,know
262,you
263,better
264,know
265,you
266,better
267,know
268,you
269,better
270,i
271,wanna
272,know
273,you
274,know
275,you
276,know
277,you
278,taylor
279,swift
280,ed
281,sheeran
282,'cause
283,i
284,know
285,said
286,hello
287,your
288,eyes
289,look
290,like
291,coming
292,home
293,i
294,know
295,simple
296,name
297,everything
298,changed
299,i
300,know
301,you
302,held
303,door
304,you'll
305,mine
306,i'll
307,yours
308,i
309,know
310,since
311,yesterday
312,everything
313,changed
314,taylor
315,swift
316,i
317,know
318,said
319,hello
320,dust
321,your
322,highest
323,hopes
324,i
325,know
326,pouring
327,rain
328,everything
329,changed
330,i
331,know
332,new
333,found
334,grace
335,my
336,days
337,i'll
338,know
339,your
340,face
341,i
342,know
343,since
344,yesterday
345,everything
346,changed
