,The First Taste_Fiona Apple
0,i
1,lie
2,early
3,bed
4,thinking
5,late
6,thoughts
7,waiting
8,black
9,replace
10,my
11,blue
12,i
13,struggle
14,your
15,web
16,my
17,aim
18,get
19,caught
20,daddy
21,longlegs
22,i
23,feel
24,i'm
25,finally
26,growing
27,weary
28,waiting
29,consumed
30,you
31,give
32,me
33,first
34,taste
35,let
36,begin
37,heaven
38,cannot
39,wait
40,forever
41,darling
42,start
43,chase
44,i'll
45,let
46,you
47,win
48,you
49,must
50,make
51,endeavor
52,oh
53,your
54,love
55,give
56,me
57,heart
58,contusion
59,adagio
60,breezes
61,fill
62,my
63,skin
64,sudden
65,red
66,your
67,hungry
68,flirt
69,borders
70,intrusion
71,i'm
72,building
73,memories
74,things
75,said
76,breakdown
77,full
78,heavy
79,empty
80,nearly
81,my
82,love
83,nearly
84,my
85,love
86,nearly
87,give
88,me
89,first
90,taste
91,let
92,begin
93,heaven
94,cannot
95,wait
96,forever
97,darling
98,start
99,chase
100,i'll
101,let
102,you
103,win
104,you
105,must
106,make
107,endeavor
108,first
109,taste
110,let
111,begin
112,heaven
113,cannot
114,wait
115,forever
116,start
117,chase
118,i'll
119,let
120,you
121,win
122,you
123,must
124,make
125,endeavor
