,Energy_Drake
0,produced
1,boi1da
2,ob
3,o'brien
4,dj
5,jah
6,walton
7,drake
8,lickwood
9,means
10,rewind
11,gunshot
12,means
13,forward
14,you
15,requested
16,rewind
17,yeah
18,way
19,way
20,way
21,turn
22,yeah
23,look
24,i
25,got
26,enemies
27,got
28,lot
29,enemies
30,got
31,lot
32,people
33,tryna
34,drain
35,me
36,my
37,energy
38,tryna
39,take
40,wave
41,nigga
42,fuckin'
43,kid
44,pray
45,your
46,nigga
47,drake
48,i
49,got
50,girls
51,real
52,life
53,tryna
54,fuck
55,my
56,day
57,fuck
58,goin'
59,online
60,ain't
61,part
62,my
63,day
64,i
65,got
66,real
67,shit
68,poppin'
69,my
70,family
71,i
72,got
73,niggas
74,never
75,leave
76,canada
77,i
78,got
79,two
80,mortgages
81,thirty
82,million
83,total
84,i
85,got
86,niggas
87,still
88,try
89,fuckin'
90,me
91,i
92,got
93,rap
94,niggas
95,i
96,gotta
97,act
98,like
99,i
100,like
101,my
102,actin'
103,days
104,fuck
105,niggas
106,life
107,yeah
108,i
109,got
110,enemies
111,got
112,lot
113,enemies
114,got
115,lot
116,people
117,tryna
118,drain
119,me
120,energy
121,tryna
122,take
123,wave
124,nigga
125,fuckin'
126,kid
127,pray
128,your
129,nigga
130,drake
131,i
132,got
133,people
134,talkin'
135,man
136,like
137,i
138,give
139,fuck
140,i
141,bought
142,one
143,purse
144,i
145,bought
146,one
147,truck
148,i
149,bought
150,one
151,house
152,i
153,bought
154,one
155,mall
156,i
157,keep
158,buyin'
159,shit
160,make
161,sure
162,you
163,keep
164,track
165,i
166,got
167,bitches
168,askin'
169,me
170,code
171,wifi
172,talk
173,timeline
174,show
175,me
176,pictures
177,friends
178,tell
179,me
180,ain't
181,really
182,friends
183,exgirl
184,she
185,female
186,version
187,me
188,i
189,got
190,strippers
191,my
192,life
193,virgins
194,me
195,i
196,hear
197,everybody
198,talkin'
199,'bout
200,gon'
201,i
202,got
203,high
204,hopes
205,you
206,niggas
207,gon'
208,see
209,i
210,got
211,money
212,courts
213,'til
214,my
215,niggas
216,free
217,'bout
218,call
219,your
220,ass
221,uber
222,i
223,got
224,somewhere
225,i
226,hear
227,fairy
228,tales
229,'bout
230,gon'
231,run
232,me
233,well
234,run
235,you
236,see
237,me
238,gon'
239,see
240,i
241,got
242,enemies
243,got
244,lot
245,enemies
246,got
247,lot
248,people
249,tryna
250,drain
251,me
252,energy
253,tryna
254,take
255,wave
256,nigga
257,fuckin'
258,kid
259,pray
260,your
261,nigga
262,drake
263,nah
264,fuck
265,you
266,niggas
267,i
268,ain't
269,finished
270,y'all
271,wanna
272,hear
273,me
274,say
275,go
276,y'all
277,wanna
278,see
279,win
280,win
281,whoa
282,i
283,got
284,real
285,ones
286,livin'
287,past
288,kennedy
289,road
290,i
291,got
292,real
293,ones
294,wit'
295,me
296,everywhere
297,i
298,go
299,i'm
300,tryna
301,tell
302,ya
303,i
304,got
305,enemies
306,got
307,lot
308,enemies
309,every
310,time
311,i
312,see
313,'em
314,somethin'
315,wrong
316,memory
317,tryna
318,take
319,wave
320,nigga
321,tired
322,savin'
323,niggas
324,mayne
325,yeah
326,run
327,'em
328,i
329,got
330,enemies
331,got
332,lot
333,enemies
334,got
335,lot
336,people
337,tryna
338,drain
339,me
340,energy
341,tryna
342,take
343,wave
344,nigga
345,fuckin'
346,kid
347,pray
348,your
349,nigga
350,i'm
