,Eyes_Rogue Wave
0,missed
1,last
2,train
3,home
4,birds
5,pass
6,tell
7,me
8,i'm
9,alone
10,well
11,i'm
12,pushing
13,myself
14,finish
15,part
16,handle
17,lot
18,one
19,thing
20,i'm
21,missing
22,your
23,eyes
24,your
25,eyes
26,your
27,eyes
28,your
29,eyes
30,your
31,eyes
32,your
33,eyes
34,your
35,you
36,seen
37,film
38,reminds
39,me
40,walking
41,avenues
42,we'll
43,washing
44,my
45,hands
46,attachments
47,yeah
48,land
49,ground
50,one
51,thing
52,i'm
53,missing
54,your
55,eyes
56,chorusoutro
57,your
58,eyes
59,your
60,eyes
61,your
62,eyes
63,your
64,eyes
65,your
66,eyes
67,your
68,eyes
69,your
70,eyes
71,your
72,eyes
73,your
74,eyes
75,your
76,eyes
77,your
78,eyes
79,your
80,eyes
81,your
82,eyes
83,your
84,eyes
85,your
86,eyes
