,10 Bands_Drake
0,bands
1,bands
2,100
3,bands
4,fuck
5,man
6,let's
7,even
8,discuss
9,man
10,omg
11,niggas
12,sleep
13,ain't
14,trippin'
15,i'ma
16,let
17,'em
18,sleep
19,ain't
20,trippin'
21,let
22,'em
23,rest
24,peace
25,tell
26,ya
27,happened
28,tell
29,ya
30,'bout
31,safe
32,house
33,nights
34,calabasas
35,tell
36,rapper
37,tryna
38,sell
39,story
40,even
41,open
42,package
43,claim
44,payin'
45,mama's
46,rent
47,turning
48,soda
49,dirty
50,like
51,diana
52,never
53,clean
54,ex
55,asked
56,"""where"
57,"movin'"""
58,said
59,"""on"
60,better
61,"things"""
62,bands
63,bands
64,100
65,bands
66,fuck
67,man
68,let's
69,even
70,discuss
71,man
72,omg
73,niggas
74,sleep
75,ain't
76,trippin'
77,i'ma
78,let
79,'em
80,sleep
81,ain't
82,trippin'
83,let
84,'em
85,rest
86,peace
87,crib
88,phones
89,house
90,taking
91,calls
92,done
93,hit
94,stride
95,got
96,shit
97,goin'
98,six
99,cooking
100,wrist
101,motion
102,drapes
103,closed
104,know
105,time
106,i'm
107,still
108,awake
109,gotta
110,shine
111,year
112,could
113,never
114,ever
115,let
116,streets
117,left
118,condo
119,week
120,bands
121,bands
122,100
123,bands
124,fuck
125,man
126,let's
127,even
128,discuss
129,man
130,omg
131,niggas
132,sleep
133,ain't
134,trippin'
135,i'ma
136,let
137,'em
138,sleep
139,ain't
140,trippin'
141,let
142,'em
143,rest
144,peace
145,i've
146,mission
147,left
148,condo
149,ovo
150,szn
151,new
152,toronto
153,get
154,boxes
155,free
156,jordan
157,like
158,play
159,north
160,carolina
161,much
162,make
163,deal
164,fuck
165,know
166,watches
167,always
168,timeless
169,keep
170,diamonds
171,treatin'
172,diamonds
173,atlanta
174,like
175,king
176,diamonds
177,take
178,flick
179,look
180,like
181,meechy
182,look
183,like
184,bleu
185,davinci
186,treat
187,v
188,live
189,like
190,07
191,magic
192,city
193,man
194,told
195,city
196,i'd
197,gone
198,'til
199,november
200,november
201,came
202,came
203,right
204,back
205,worst
206,behav'
207,god
208,put
209,hands
210,together
211,that's
212,amazin'
213,grace
214,god
215,selfish
216,love
217,need
218,praise
219,woo
220,got
221,feelin'
222,like
223,one
224,woo
225,got
226,feelin'
227,like
228,one
229,yeah
230,shout
231,goes
232,nike
233,checks
234,need
235,fuelband
236,see
237,long
238,run
239,bands
240,bands
241,100
242,bands
243,fuck
244,man
245,let's
246,even
247,discuss
248,man
249,omg
250,niggas
251,sleep
252,ain't
253,trippin'
254,i'ma
255,let
256,'em
257,sleep
258,ain't
259,trippin'
260,let
261,'em
262,rest
263,peace
264,outro
265,crib
266,phones
267,house
268,takin'
269,calls
270,done
271,hit
272,stride
273,got
274,shit
275,going
276,cookin'
277,wri-wri-wri-wri
