,Hello_Lionel Richie
0,i've
1,alone
2,you
3,inside
4,my
5,mind
6,my
7,dreams
8,i've
9,kissed
10,your
11,lips
12,thousand
13,times
14,i
15,sometimes
16,see
17,you
18,pass
19,outside
20,my
21,door
22,hello
23,me
24,you're
25,looking
26,i
27,see
28,your
29,eyes
30,i
31,see
32,your
33,smile
34,you're
35,i've
36,ever
37,wanted
38,my
39,arms
40,open
41,wide
42,'cause
43,you
44,know
45,say
46,you
47,know
48,i
49,want
50,tell
51,you
52,much
53,i
54,love
55,you
56,i
57,long
58,see
59,sunlight
60,your
61,hair
62,tell
63,you
64,time
65,time
66,much
67,i
68,care
69,sometimes
70,i
71,feel
72,my
73,heart
74,overflow
75,hello
76,i've
77,got
78,let
79,you
80,know
81,'cause
82,i
83,wonder
84,you
85,i
86,wonder
87,you
88,you
89,somewhere
90,feeling
91,lonely
92,someone
93,loving
94,you
95,tell
96,me
97,win
98,your
99,heart
100,i
101,got
102,clue
103,let
104,me
105,start
106,saying
107,i
108,love
109,you
110,hello
111,me
112,you're
113,looking
114,'cause
115,i
116,wonder
117,you
118,i
119,wonder
120,you
121,you
122,somewhere
123,feeling
124,lonely
125,someone
126,loving
127,you
128,tell
129,me
130,win
131,your
132,heart
133,i
134,got
135,clue
136,let
137,me
138,start
139,saying
140,i
141,love
142,you
