,The White Lady Loves You More_Elliott Smith
0,keep
1,your
2,things
3,place
4,meant
5,hide
6,i
7,know
8,they're
9,somewhere
10,i
11,know
12,that's
13,you'll
14,go
15,tonight
16,i'll
17,thrown
18,like
19,white
20,lady
21,loves
22,you
23,need
24,metal
25,man
26,pick
27,your
28,feet
29,long
30,time
31,since
32,you
33,cared
34,enough
35,me
36,even
37,discreet
38,i
39,know
40,metal
41,white
42,lady
43,loves
44,you
45,i'm
46,looking
47,hand
48,full
49,broken
50,plans
51,i'm
52,tired
53,playing
54,you
55,want
56,her
57,anything
58,you
59,ain't
60,nothing
61,you
62,allow
63,you
64,wake
65,middle
66,night
67,dream
68,you
69,remember
70,flashing
71,like
72,cop's
73,light
74,you
75,say
76,waiting
77,i
78,know
79,white
80,lady
81,loves
82,you
83,white
84,lady
