,You Really Got a Hold on Me_She & Him
0,i
1,like
2,you
3,i
4,love
5,you
6,seems
7,i'm
8,always
9,thinking
10,you
11,oh
12,oh
13,oh
14,you
15,treat
16,me
17,badly
18,i
19,love
20,you
21,madly
22,you've
23,really
24,got
25,hold
26,me
27,you've
28,really
29,got
30,hold
31,me
32,baby
33,i
34,want
35,you
36,i
37,need
38,you
39,want
40,kiss
41,you
42,i
43,need
44,oh
45,oh
46,oh
47,you
48,me
49,wrong
50,my
51,love
52,strong
53,you've
54,really
55,got
56,hold
57,me
58,you've
59,really
60,got
61,hold
62,me
63,baby
64,i
65,love
66,you
67,i
68,want
69,you
70,hold
71,me
72,hold
73,me
74,hold
75,me
76,hold
77,me
78,i
79,want
80,leave
81,you
82,want
83,stay
84,want
85,spend
86,another
87,day
88,oh
89,oh
90,oh
91,you
92,me
93,wrong
94,my
95,love
96,stronger
97,you've
98,really
99,got
100,hold
101,me
102,i
103,said
104,you've
105,really
106,got
107,hold
108,me
109,baby
110,i
111,love
112,you
113,i
114,want
115,you
116,hold
117,me
118,hold
119,me
120,hold
121,me
122,hold
123,me
