,Isn't She Lovely_Stevie Wonder
0,she
1,lovely
2,she
3,wonderful
4,she
5,precious
6,less
7,one
8,minute
9,old
10,i
11,never
12,thought
13,love
14,we'd
15,making
16,one
17,lovely
18,she
19,she
20,lovely
21,made
22,love
23,she
24,pretty
25,truly
26,angel's
27,best
28,boy
29,i'm
30,happy
31,heaven
32,blessed
33,i
34,can't
35,believe
36,god
37,done
38,us
39,he's
40,given
41,life
42,one
43,she
44,lovely
45,made
46,love
47,breakdown
48,she
49,lovely
50,life
51,love
52,life
53,aisha
54,meaning
55,her
56,name
57,londie
58,could
59,done
60,without
61,you
62,conceived
63,one
64,that's
65,lovely
66,made
67,love
68,harmonica
69,solo
70,many
71,rounds
