,Jasmine (Demo)_Jai Paul
0,you
1,me
2,jasmine
3,you
4,let
5,me
6,would
7,you
8,knock
9,me
10,like
11,bottle
12,gin
13,jasmine
14,'cause
15,i
16,scare
17,you
18,'cause
19,i'm
20,ill
21,you've
22,got
23,trust
24,me
25,even
26,one
27,else
28,jasmine
29,jasmine
30,i
31,see
32,you
33,jasmine
34,what's
35,boy
36,please
37,come
38,back
39,me
40,make
41,my
42,dream
43,come
44,true
45,'cause
46,comes
47,heartbreak
48,what's
49,little
50,girl
51,like
52,you
53,know
54,melt
55,my
56,heart
57,stone
58,make
59,my
60,dream
61,come
62,true
63,jasmine
64,yeah
65,jasmine
66,i
67,get
68,you
69,friday
70,saturday
71,your
72,day
73,i
74,must
75,real
76,creep
77,'cause
78,i
79,think
80,me
81,really
82,nothin'
83,'cause
84,i
85,think
86,you're
87,wrong
88,'cause
89,there's
90,nothin'
91,like
92,i
93,see
94,you
95,jasmine
96,what's
97,boy
98,please
99,come
100,back
101,me
102,make
103,my
104,dream
105,come
106,true
107,'cause
108,comes
109,heartbreak
110,what's
111,little
112,girl
113,like
114,you
115,know
116,melt
117,my
118,heart
119,stone
120,make
121,my
122,dream
123,come
124,true
125,you
126,see
127,me
128,jasmine
129,i
130,know
131,you
132,think
133,you
134,look
135,me
136,you
137,think
138,i'm
139,weak
140,comes
141,heartbreak
142,i
143,wanna
144,feel
145,way
146,come
147,back
148,me
149,baby
150,make
151,my
152,dream
153,come
154,true
155,make
156,my
157,dream
158,come
159,true
160,make
161,my
162,dream
163,come
164,true
