,To the Moon & Back_Savage Garden
0,taking
1,time
2,making
3,reasons
4,justify
5,hurt
6,inside
7,guess
8,knows
9,smiles
10,look
11,eyes
12,everyone's
13,got
14,theory
15,bitter
16,one
17,they're
18,saying
19,"""mama"
20,never
21,loved
22,much
23,daddy
24,never
25,keeps
26,touch
27,that's
28,shies
29,away
30,human
31,"affection"""
32,somewhere
33,private
34,place
35,packs
36,bags
37,outer
38,space
39,waiting
40,right
41,kind
42,pilot
43,come
44,she'll
45,say
46,saying
47,would
48,fly
49,moon
50,back
51,baby
52,i've
53,got
54,ticket
55,world
56,belong
57,would
58,baby
59,can't
60,remember
61,time
62,felt
63,needed
64,love
65,red
66,color
67,blind
68,friends
69,they've
70,tried
71,treason
72,crimes
73,never
74,defined
75,saying
76,"""love"
77,like
78,barren
79,place
80,reaching
81,human
82,faith
83,like
84,journey
85,map
86,"for"""
87,baby's
88,gonna
89,take
90,dive
91,push
92,shift
93,overdrive
94,send
95,signal
96,hanging
97,hopes
98,stars
99,pleasant
100,dream
101,would
102,fly
103,moon
104,back
105,baby
106,i've
107,got
108,ticket
109,world
110,belong
111,would
112,baby
113,hold
114,hold
115,"""mama"
116,never
117,loved
118,much
119,daddy
120,never
121,keeps
122,touch
123,that's
124,shies
125,away
126,human
127,"affection"""
128,somewhere
129,private
130,place
131,packs
132,bags
133,outer
134,space
135,waiting
136,right
137,kind
138,pilot
139,come
140,she'll
141,say
142,saying
143,would
144,fly
145,moon
146,back
147,baby
148,i've
149,got
150,ticket
151,world
152,belong
153,would
154,baby
155,would
156,fly
157,moon
158,back
159,baby
160,i've
161,got
162,ticket
163,world
164,belong
165,would
166,baby
