,Swagger Jagger_Cher Lloyd
0,swagger
1,jagger
2,swagger
3,jagger
4,get
5,count
6,money
7,get
8,game
9,get
10,game
11,get
12,get
13,game
14,can't
15,stop
16,looking
17,staring
18,can't
19,stop
20,looking
21,get
22,face
23,can't
24,stop
25,clicking
26,writing
27,'bout
28,tweeting
29,'bout
30,can't
31,stop
32,gon'
33,swagger's
34,check
35,pre-chorus
36,get
37,floor
38,get
39,get
40,get
41,floor
42,swagger's
43,check
44,get
45,floor
46,get
47,get
48,get
49,floor
50,i-i-i
51,got
52,check
53,swagger
54,jagger
55,swagger
56,jagger
57,get
58,count
59,money
60,get
61,game
62,hater
63,let
64,go
65,swagger
66,jagger
67,swagger
68,jagger
69,get
70,count
71,money
72,get
73,game
74,get
75,game
76,get
77,game
78,can't
79,stop
80,shouting
81,calling
82,can't
83,stop
84,looking
85,get
86,way
87,can't
88,stop
89,youtube-ing
90,repeat
91,runnin'
92,beat
93,can't
94,stop
95,funny
96,i'm
97,laughing
98,way
99,pre-chorus
100,get
101,floor
102,get
103,get
104,get
105,floor
106,get
107,get
108,get
109,floor
110,get
111,get
112,get
113,floor
114,got
115,check
116,swagger
117,jagger
118,swagger
119,jagger
120,get
121,count
122,money
123,get
124,game
125,hater
126,let
127,go
128,swagger
129,jagger
130,swagger
131,jagger
132,get
133,count
134,money
135,get
136,game
137,get
138,game
139,get
140,game
141,bridge
142,hi
143,hater
144,kiss
145,kiss
146,i'll
147,see
148,later
149,hi
150,hater
151,nice
152,meet
153,outro
154,get
155,floor
156,get
157,get
158,get
159,get
160,get
161,get
162,get
163,floor
164,st-st-st-st-staring
165,get
166,floor
167,i-i
168,got
169,check
170,get
171,floor
172,can't
173,stop
174,get
175,floor
176,swagger's
177,check
178,get
179,floor
180,can't
181,can't
182,s-to-to-to-p
183,get
184,floor
185,got
186,check
