,A Sunday Kind of Love_Etta James
0,i
1,want
2,sunday
3,kind
4,love
5,love
6,last
7,past
8,saturday
9,night
10,i’d
11,like
12,know
13,it’s
14,love
15,first
16,sight
17,i
18,want
19,sunday
20,kind
21,love
22,oh
23,yeah
24,yeah
25,i
26,want
27,love
28,that’s
29,square
30,can’t
31,seem
32,find
33,somebody
34,someone
35,care
36,i’m
37,lonely
38,road
39,leads
40,nowhere
41,i
42,need
43,sunday
44,kind
45,love
46,i
47,my
48,sunday
49,dreaming
50,oh
51,yeah
52,my
53,sunday
54,scheming
55,every
56,minute
57,every
58,hour
59,every
60,day
61,oh
62,i’m
63,hoping
64,discover
65,certain
66,kind
67,lover
68,show
69,me
70,way
71,my
72,arms
73,need
74,someone
75,someone
76,enfold
77,keep
78,me
79,warm
80,mondays
81,tuesdays
82,grow
83,cold
84,love
85,my
86,life
87,hold
88,oh
89,i
90,want
91,sunday
92,kind
93,love
94,oh
95,yeah
96,yeah
97,yeah
98,i
99,don’t
100,want
101,monday
102,tuesday
103,wednesday
104,thursday
105,friday
106,saturday
107,oh
108,nothing
109,sunday
110,oh
111,yeah
112,i
113,want
114,sunday
115,sunday
116,i
117,want
118,sunday
119,kind
120,love
121,oh
122,yeah
123,sunday
124,sunday
125,sunday
126,kind
127,love
